p,q,n,eMaxScore
0.7,0.5,10,36.96381942344911
0.8,0.5,10,36.22735385381858
0.9,0.5,10,34.930152218232074
1,0.5,10,31.499999999999996
0.5,0.6000000000000001,10,37.36103679614395
0.6,0.6000000000000001,10,38.5211489144168
0.7,0.6000000000000001,10,39.416145360265645
0.8,0.6000000000000001,10,39.979652682381705
0.9,0.6000000000000001,10,40.000925539392334
1,0.6000000000000001,10,37.80000000000002
0.5,0.7000000000000001,10,36.963819423449145
0.6,0.7000000000000001,10,39.41614536026564
0.7,0.7000000000000001,10,41.61997013757795
0.8,0.7000000000000001,10,43.513519339717625
0.9,0.7000000000000001,10,44.90215612741791
1,0.7000000000000001,10,44.1
0.5,0.8,10,36.227353853818585
0.6,0.8,10,39.97965268238169
0.7,0.8,10,43.51351933971763
0.8,0.8,10,46.775053623320105
0.9,0.8,10,49.59419604784077
1,0.8,10,50.39999999999999
0.5,0.9,10,34.93015221823209
0.6,0.9,10,40.00092553939234
0.7,0.9,10,44.90215612741794
0.8,0.9,10,49.594196047840775
0.9,0.9,10,53.94876725334557
1,0.9,10,56.69999999999998
0.5,1,10,31.499999999999996
0.6,1,10,37.80000000000001
0.7,1,10,44.1
0.8,1,10,50.39999999999999
0.9,1,10,56.69999999999998
1,1,10,63
0.5,0,100,31.499999999999996
0.6,0,100,25.2
0.7,0,100,18.9
0.8,0,100,12.599999999999996
0.9,0,100,6.299999999999998
1,0,100,0
0.5,0.1,100,36.70361080483053
0.6,0.1,100,31.061583473335304
0.7,0.1,100,25.097185522036796
0.8,0.1,100,18.891915744997508
0.9,0.1,100,12.5999579164632
1,0.1,100,6.30000000000001
0.5,0.2,100,39.05750551288978
0.6,0.2,100,34.83625366685848
0.7,0.2,100,30.1880840458975
0.8,0.2,100,24.91034339839507
0.9,0.2,100,18.891915744997515
1,0.2,100,12.600000000000005
0.5,0.30000000000000004,100,40.31889092804554
0.6,0.30000000000000004,100,37.43623774551791
0.7,0.30000000000000004,100,34.11744892998166
0.8,0.30000000000000004,100,30.1880840458975
0.9,0.30000000000000004,100,25.0971855220368
1,0.30000000000000004,100,18.900000000000013
0.5,0.4,100,40.99219823787555
0.6,0.4,100,39.44139995719153
0.7,0.4,100,37.4362377455179
0.8,0.4,100,34.8362536668585
0.9,0.4,100,31.061583473335286
1,0.4,100,25.200000000000006
0.5,0.5,100,41.20599059472192
0.6,0.5,100,40.99219823787556
0.7,0.5,100,40.31889092804554
0.8,0.5,100,39.057505512889776
0.9,0.5,100,36.70361080483055
1,0.5,100,31.499999999999996
0.5,0.6000000000000001,100,40.992198237875535
0.6,0.6000000000000001,100,42.12310145491237
0.7,0.6000000000000001,100,42.805077086644864
