p,qE,qL,q_cutoff,n,scoring_method,eMaxScore,fold
0.75,0.9,0.95,2.5,1,ESPN,543.5,1
0.75,0.95,0.95,2.5,1,ESPN,709,1
0.75,1,0.95,2.5,1,ESPN,761.9,1
0.75,0.5,1,2.5,1,ESPN,416.5,1
0.75,0.55,1,2.5,1,ESPN,373.1,1
0.75,0.6,1,2.5,1,ESPN,548.5,1
0.75,0.65,1,2.5,1,ESPN,438.2,1
0.75,0.7,1,2.5,1,ESPN,512.7,1
0.75,0.75,1,2.5,1,ESPN,658.8,1
0.75,0.8,1,2.5,1,ESPN,577.5,1
0.75,0.8500000000000001,1,2.5,1,ESPN,635.2,1
0.75,0.9,1,2.5,1,ESPN,676.5,1
0.75,0.95,1,2.5,1,ESPN,680,1
0.75,1,1,2.5,1,ESPN,802.1,1
0.75,0.5,0.5,3.5,1,ESPN,325,1
0.75,0.55,0.5,3.5,1,ESPN,347.8,1
0.75,0.6,0.5,3.5,1,ESPN,306,1
0.75,0.65,0.5,3.5,1,ESPN,357.7,1
0.75,0.7,0.5,3.5,1,ESPN,407.4,1
0.75,0.75,0.5,3.5,1,ESPN,503.3,1
0.75,0.8,0.5,3.5,1,ESPN,432.8,1
0.75,0.8500000000000001,0.5,3.5,1,ESPN,549.5,1
0.75,0.9,0.5,3.5,1,ESPN,566.8,1
0.75,0.95,0.5,3.5,1,ESPN,687.8,1
0.75,1,0.5,3.5,1,ESPN,642.6,1
0.75,0.5,0.55,3.5,1,ESPN,220.5,1
0.75,0.55,0.55,3.5,1,ESPN,353.6,1
0.75,0.6,0.55,3.5,1,ESPN,310.9,1
0.75,0.65,0.55,3.5,1,ESPN,532.2,1
0.75,0.7,0.55,3.5,1,ESPN,467.3,1
0.75,0.75,0.55,3.5,1,ESPN,561.7,1
0.75,0.8,0.55,3.5,1,ESPN,482.9,1
0.75,0.8500000000000001,0.55,3.5,1,ESPN,481.3,1
0.75,0.9,0.55,3.5,1,ESPN,557.2,1
0.75,0.95,0.55,3.5,1,ESPN,683.3,1
0.75,1,0.55,3.5,1,ESPN,735.9,1
0.75,0.5,0.6,3.5,1,ESPN,417.5,1
0.75,0.55,0.6,3.5,1,ESPN,398.7,1
0.75,0.6,0.6,3.5,1,ESPN,473.6,1
0.75,0.65,0.6,3.5,1,ESPN,579.5,1
0.75,0.7,0.6,3.5,1,ESPN,397.2,1
0.75,0.75,0.6,3.5,1,ESPN,602.5,1
0.75,0.8,0.6,3.5,1,ESPN,597.6,1
0.75,0.8500000000000001,0.6,3.5,1,ESPN,642.7,1
0.75,0.9,0.6,3.5,1,ESPN,633,1
0.75,0.95,0.6,3.5,1,ESPN,596.9,1
0.75,1,0.6,3.5,1,ESPN,693.7,1
0.75,0.5,0.65,3.5,1,ESPN,300.4,1
0.75,0.55,0.65,3.5,1,ESPN,365.6,1
0.75,0.6,0.65,3.5,1,ESPN,392.3,1
0.75,0.65,0.65,3.5,1,ESPN,536.1,1
0.75,0.7,0.65,3.5,1,ESPN,478.9,1
0.75,0.75,0.65,3.5,1,ESPN,596.3,1
0.75,0.8,0.65,3.5,1,ESPN,482.8,1
0.75,0.8500000000000001,0.65,3.5,1,ESPN,688.7,1
0.75,0.9,0.65,3.5,1,ESPN,589.9,1
0.75,0.95,0.65,3.5,1,ESPN,582.7,1
0.75,1,0.65,3.5,1,ESPN,728.1,1
0.75,0.5,0.7,3.5,1,ESPN,318,1
0.75,0.55,0.7,3.5,1,ESPN,359.1,1
0.75,0.6,0.7,3.5,1,ESPN,434.7,1
0.75,0.65,0.7,3.5,1,ESPN,445.8,1
0.75,0.7,0.7,3.5,1,ESPN,517.4,1
0.75,0.75,0.7,3.5,1,ESPN,552.1,1
0.75,0.8,0.7,3.5,1,ESPN,628.7,1
0.75,0.8500000000000001,0.7,3.5,1,ESPN,573.3,1
0.75,0.9,0.7,3.5,1,ESPN,560.5,1
0.75,0.95,0.7,3.5,1,ESPN,750.3,1
0.75,1,0.7,3.5,1,ESPN,730.2,1
0.75,0.5,0.75,3.5,1,ESPN,392.3,1
0.75,0.55,0.75,3.5,1,ESPN,357.9,1
0.75,0.6,0.75,3.5,1,ESPN,397.9,1
0.75,0.65,0.75,3.5,1,ESPN,432.7,1
0.75,0.7,0.75,3.5,1,ESPN,449.5,1
0.75,0.75,0.75,3.5,1,ESPN,398.5,1
0.75,0.8,0.75,3.5,1,ESPN,531,1
0.75,0.8500000000000001,0.75,3.5,1,ESPN,542.6,1
0.75,0.9,0.75,3.5,1,ESPN,626.1,1
0.75,0.95,0.75,3.5,1,ESPN,647.3,1
0.75,1,0.75,3.5,1,ESPN,704.6,1
0.75,0.5,0.8,3.5,1,ESPN,294.5,1
0.75,0.55,0.8,3.5,1,ESPN,325,1
0.75,0.6,0.8,3.5,1,ESPN,350.5,1
0.75,0.65,0.8,3.5,1,ESPN,405.5,1
0.75,0.7,0.8,3.5,1,ESPN,475.6,1
0.75,0.75,0.8,3.5,1,ESPN,440.6,1
0.75,0.8,0.8,3.5,1,ESPN,621.7,1
0.75,0.8500000000000001,0.8,3.5,1,ESPN,509.7,1
0.75,0.9,0.8,3.5,1,ESPN,550,1
