p,qE,qL,q_cutoff,n,scoring_method,eMaxHammingScore,fold
0.75,0.65,0.9,2.5,1,Hamming,27.42,1
0.75,0.7,0.9,2.5,1,Hamming,30.73,1
0.75,0.75,0.9,2.5,1,Hamming,27.74,1
0.75,0.8,0.9,2.5,1,Hamming,27.49,1
0.75,0.8500000000000001,0.9,2.5,1,Hamming,31.83,1
0.75,0.9,0.9,2.5,1,Hamming,35,1
0.75,0.95,0.9,2.5,1,Hamming,36.4,1
0.75,1,0.9,2.5,1,Hamming,38.43,1
0.75,0.5,0.95,2.5,1,Hamming,22.18,1
0.75,0.55,0.95,2.5,1,Hamming,22.93,1
0.75,0.6,0.95,2.5,1,Hamming,28.11,1
0.75,0.65,0.95,2.5,1,Hamming,25.06,1
0.75,0.7,0.95,2.5,1,Hamming,26.41,1
0.75,0.75,0.95,2.5,1,Hamming,28.87,1
0.75,0.8,0.95,2.5,1,Hamming,33.96,1
0.75,0.8500000000000001,0.95,2.5,1,Hamming,32.66,1
0.75,0.9,0.95,2.5,1,Hamming,31.84,1
0.75,0.95,0.95,2.5,1,Hamming,35.01,1
0.75,1,0.95,2.5,1,Hamming,38.41,1
0.75,0.5,1,2.5,1,Hamming,22.67,1
0.75,0.55,1,2.5,1,Hamming,23.57,1
0.75,0.6,1,2.5,1,Hamming,27.44,1
0.75,0.65,1,2.5,1,Hamming,25.03,1
0.75,0.7,1,2.5,1,Hamming,29.59,1
0.75,0.75,1,2.5,1,Hamming,32.83,1
0.75,0.8,1,2.5,1,Hamming,31.27,1
0.75,0.8500000000000001,1,2.5,1,Hamming,32.98,1
0.75,0.9,1,2.5,1,Hamming,34.23,1
0.75,0.95,1,2.5,1,Hamming,35.72,1
0.75,1,1,2.5,1,Hamming,38.74,1
0.75,0.5,0.5,3.5,1,Hamming,22.14,1
0.75,0.55,0.5,3.5,1,Hamming,24.27,1
0.75,0.6,0.5,3.5,1,Hamming,18.24,1
0.75,0.65,0.5,3.5,1,Hamming,23.39,1
0.75,0.7,0.5,3.5,1,Hamming,27.09,1
0.75,0.75,0.5,3.5,1,Hamming,29.55,1
0.75,0.8,0.5,3.5,1,Hamming,26.39,1
0.75,0.8500000000000001,0.5,3.5,1,Hamming,34.23,1
0.75,0.9,0.5,3.5,1,Hamming,34.05,1
0.75,0.95,0.5,3.5,1,Hamming,36.46,1
0.75,1,0.5,3.5,1,Hamming,36.87,1
0.75,0.5,0.55,3.5,1,Hamming,16.36,1
0.75,0.55,0.55,3.5,1,Hamming,21.73,1
0.75,0.6,0.55,3.5,1,Hamming,20.73,1
0.75,0.65,0.55,3.5,1,Hamming,28.72,1
0.75,0.7,0.55,3.5,1,Hamming,27.53,1
0.75,0.75,0.55,3.5,1,Hamming,31.34,1
0.75,0.8,0.55,3.5,1,Hamming,30.64,1
0.75,0.8500000000000001,0.55,3.5,1,Hamming,29.7,1
0.75,0.9,0.55,3.5,1,Hamming,32.26,1
0.75,0.95,0.55,3.5,1,Hamming,36.85,1
0.75,1,0.55,3.5,1,Hamming,37.61,1
0.75,0.5,0.6,3.5,1,Hamming,22.28,1
0.75,0.55,0.6,3.5,1,Hamming,23.18,1
0.75,0.6,0.6,3.5,1,Hamming,29.04,1
0.75,0.65,0.6,3.5,1,Hamming,30.92,1
0.75,0.7,0.6,3.5,1,Hamming,25.57,1
0.75,0.75,0.6,3.5,1,Hamming,31.46,1
0.75,0.8,0.6,3.5,1,Hamming,32.91,1
0.75,0.8500000000000001,0.6,3.5,1,Hamming,34.31,1
0.75,0.9,0.6,3.5,1,Hamming,34.47,1
0.75,0.95,0.6,3.5,1,Hamming,36.25,1
0.75,1,0.6,3.5,1,Hamming,37.38,1
0.75,0.5,0.65,3.5,1,Hamming,21.27,1
0.75,0.55,0.65,3.5,1,Hamming,24.13,1
0.75,0.6,0.65,3.5,1,Hamming,25.43,1
0.75,0.65,0.65,3.5,1,Hamming,26.92,1
0.75,0.7,0.65,3.5,1,Hamming,27.34,1
0.75,0.75,0.65,3.5,1,Hamming,29.05,1
0.75,0.8,0.65,3.5,1,Hamming,28.84,1
0.75,0.8500000000000001,0.65,3.5,1,Hamming,36.26,1
0.75,0.9,0.65,3.5,1,Hamming,33.1,1
0.75,0.95,0.65,3.5,1,Hamming,36.04,1
0.75,1,0.65,3.5,1,Hamming,37.53,1
0.75,0.5,0.7,3.5,1,Hamming,21.04,1
0.75,0.55,0.7,3.5,1,Hamming,22.86,1
0.75,0.6,0.7,3.5,1,Hamming,23.81,1
0.75,0.65,0.7,3.5,1,Hamming,26.83,1
0.75,0.7,0.7,3.5,1,Hamming,29.45,1
0.75,0.75,0.7,3.5,1,Hamming,30.11,1
0.75,0.8,0.7,3.5,1,Hamming,35.39,1
0.75,0.8500000000000001,0.7,3.5,1,Hamming,33.54,1
