p,q,n,scoring_method,eMaxHammingScore,fold
0.7,0.4,10,Hamming,24.61,4
0.8,0.4,10,Hamming,23.14,4
0.9,0.4,10,Hamming,22.72,4
1,0.4,10,Hamming,25,4
0.5,0.5,10,Hamming,26.43,4
0.6,0.5,10,Hamming,26.86,4
0.7,0.5,10,Hamming,26.83,4
0.8,0.5,10,Hamming,26.23,4
0.9,0.5,10,Hamming,28,4
1,0.5,10,Hamming,28,4
0.5,0.6000000000000001,10,Hamming,26.72,4
0.6,0.6000000000000001,10,Hamming,27.53,4
0.7,0.6000000000000001,10,Hamming,29.14,4
0.8,0.6000000000000001,10,Hamming,32.42,4
0.9,0.6000000000000001,10,Hamming,31.41,4
1,0.6000000000000001,10,Hamming,31,4
0.5,0.7000000000000001,10,Hamming,26.64,4
0.6,0.7000000000000001,10,Hamming,28.55,4
0.7,0.7000000000000001,10,Hamming,31.02,4
0.8,0.7000000000000001,10,Hamming,35.13,4
0.9,0.7000000000000001,10,Hamming,40.04,4
1,0.7000000000000001,10,Hamming,42,4
0.5,0.8,10,Hamming,26.37,4
0.6,0.8,10,Hamming,30.82,4
0.7,0.8,10,Hamming,33.5,4
0.8,0.8,10,Hamming,38.88,4
0.9,0.8,10,Hamming,42.89,4
1,0.8,10,Hamming,51,4
0.5,0.9,10,Hamming,25.78,4
0.6,0.9,10,Hamming,31.44,4
0.7,0.9,10,Hamming,37.07,4
0.8,0.9,10,Hamming,43.23,4
0.9,0.9,10,Hamming,48.7,4
1,0.9,10,Hamming,53,4
0.5,1,10,Hamming,24.28,4
0.6,1,10,Hamming,29.45,4
0.7,1,10,Hamming,36.64,4
0.8,1,10,Hamming,45.22,4
0.9,1,10,Hamming,54.55,4
1,1,10,Hamming,63,4
0.5,0,100,Hamming,28.43,4
0.6,0,100,Hamming,22.9,4
0.7,0,100,Hamming,17.08,4
0.8,0,100,Hamming,11.96,4
0.9,0,100,Hamming,6.6,4
1,0,100,Hamming,0,4
0.5,0.1,100,Hamming,31.97,4
0.6,0.1,100,Hamming,27.11,4
0.7,0.1,100,Hamming,21.74,4
0.8,0.1,100,Hamming,18.49,4
0.9,0.1,100,Hamming,14,4
1,0.1,100,Hamming,10,4
0.5,0.2,100,Hamming,31.98,4
0.6,0.2,100,Hamming,27.83,4
0.7,0.2,100,Hamming,24.52,4
0.8,0.2,100,Hamming,20.84,4
0.9,0.2,100,Hamming,17.48,4
1,0.2,100,Hamming,14,4
0.5,0.30000000000000004,100,Hamming,31.07,4
0.6,0.30000000000000004,100,Hamming,28.06,4
0.7,0.30000000000000004,100,Hamming,26.73,4
0.8,0.30000000000000004,100,Hamming,23.83,4
0.9,0.30000000000000004,100,Hamming,20.96,4
1,0.30000000000000004,100,Hamming,20,4
0.5,0.4,100,Hamming,30.68,4
0.6,0.4,100,Hamming,29.16,4
0.7,0.4,100,Hamming,27.93,4
0.8,0.4,100,Hamming,26.88,4
0.9,0.4,100,Hamming,24.47,4
1,0.4,100,Hamming,23,4
0.5,0.5,100,Hamming,30.81,4
0.6,0.5,100,Hamming,30.28,4
0.7,0.5,100,Hamming,30.31,4
0.8,0.5,100,Hamming,30.21,4
0.9,0.5,100,Hamming,31.5,4
1,0.5,100,Hamming,33,4
0.5,0.6000000000000001,100,Hamming,30.97,4
0.6,0.6000000000000001,100,Hamming,31.55,4
0.7,0.6000000000000001,100,Hamming,33.37,4
0.8,0.6000000000000001,100,Hamming,35.58,4
0.9,0.6000000000000001,100,Hamming,34.42,4
1,0.6000000000000001,100,Hamming,39,4
0.5,0.7000000000000001,100,Hamming,30.97,4
0.6,0.7000000000000001,100,Hamming,33.36,4
0.7,0.7000000000000001,100,Hamming,36.98,4
0.8,0.7000000000000001,100,Hamming,38.5,4
0.9,0.7000000000000001,100,Hamming,40.58,4
1,0.7000000000000001,100,Hamming,45,4
0.5,0.8,100,Hamming,31.63,4
0.6,0.8,100,Hamming,35.78,4
0.7,0.8,100,Hamming,39.22,4
0.8,0.8,100,Hamming,44,4
0.9,0.8,100,Hamming,48.16,4
1,0.8,100,Hamming,50,4
0.5,0.9,100,Hamming,32.13,4
0.6,0.9,100,Hamming,36.78,4
0.7,0.9,100,Hamming,42.01,4
0.8,0.9,100,Hamming,46.85,4
0.9,0.9,100,Hamming,53.21,4
1,0.9,100,Hamming,58,4
0.5,1,100,Hamming,28.07,4
0.6,1,100,Hamming,34.71,4
0.7,1,100,Hamming,41.02,4
0.8,1,100,Hamming,50.49,4
0.9,1,100,Hamming,56.79,4
1,1,100,Hamming,63,4
0.5,0,1000,Hamming,34.82,4
0.6,0,1000,Hamming,28.28,4
0.7,0,1000,Hamming,23.06,4
0.8,0,1000,Hamming,16.4,4
0.9,0,1000,Hamming,10.8,4
1,0,1000,Hamming,0,4
0.5,0.1,1000,Hamming,38.6,4
0.6,0.1,1000,Hamming,32.79,4
0.7,0.1,1000,Hamming,29.22,4
0.8,0.1,1000,Hamming,22.87,4
0.9,0.1,1000,Hamming,17.51,4
1,0.1,1000,Hamming,11,4
0.5,0.2,1000,Hamming,37.14,4
0.6,0.2,1000,Hamming,33.72,4
0.7,0.2,1000,Hamming,29.42,4
0.8,0.2,1000,Hamming,26.11,4
0.9,0.2,1000,Hamming,21.64,4
1,0.2,1000,Hamming,16,4
0.5,0.30000000000000004,1000,Hamming,35.67,4
0.6,0.30000000000000004,1000,Hamming,33.23,4
0.7,0.30000000000000004,1000,Hamming,30.65,4
0.8,0.30000000000000004,1000,Hamming,27.6,4
0.9,0.30000000000000004,1000,Hamming,24.92,4
1,0.30000000000000004,1000,Hamming,21,4
0.5,0.4,1000,Hamming,34.24,4
0.6,0.4,1000,Hamming,32.38,4
0.7,0.4,1000,Hamming,31.23,4
0.8,0.4,1000,Hamming,29.64,4
0.9,0.4,1000,Hamming,27.84,4
1,0.4,1000,Hamming,26,4
0.5,0.5,1000,Hamming,32.72,4
0.6,0.5,1000,Hamming,33.04,4
0.7,0.5,1000,Hamming,32.6,4
0.8,0.5,1000,Hamming,32.6,4
0.9,0.5,1000,Hamming,32.42,4
1,0.5,1000,Hamming,32,4
0.5,0.6000000000000001,1000,Hamming,33.89,4
0.6,0.6000000000000001,1000,Hamming,34.31,4
0.7,0.6000000000000001,1000,Hamming,36.21,4
0.8,0.6000000000000001,1000,Hamming,37,4
0.9,0.6000000000000001,1000,Hamming,37.88,4
1,0.6000000000000001,1000,Hamming,40,4
0.5,0.7000000000000001,1000,Hamming,35.86,4
0.6,0.7000000000000001,1000,Hamming,37.97,4
0.7,0.7000000000000001,1000,Hamming,39.99,4
0.8,0.7000000000000001,1000,Hamming,42.61,4
0.9,0.7000000000000001,1000,Hamming,43.95,4
1,0.7000000000000001,1000,Hamming,46,4
0.5,0.8,1000,Hamming,37.56,4
0.6,0.8,1000,Hamming,40.82,4
0.7,0.8,1000,Hamming,44.25,4
0.8,0.8,1000,Hamming,47.92,4
0.9,0.8,1000,Hamming,51.71,4
1,0.8,1000,Hamming,52,4
0.5,0.9,1000,Hamming,37.86,4
0.6,0.9,1000,Hamming,42.48,4
0.7,0.9,1000,Hamming,48.62,4
0.8,0.9,1000,Hamming,52.55,4
0.9,0.9,1000,Hamming,58.77,4
1,0.9,1000,Hamming,62,4
0.5,1,1000,Hamming,37.01,4
0.6,1,1000,Hamming,42.21,4
0.7,1,1000,Hamming,48.63,4
0.8,1,1000,Hamming,55.16,4
0.9,1,1000,Hamming,60.89,4
1,1,1000,Hamming,63,4
0.5,0,10000,Hamming,44.22,4
0.6,0,10000,Hamming,38.85,4
0.7,0,10000,Hamming,31.84,4
0.8,0,10000,Hamming,26.74,4
0.9,0,10000,Hamming,17.12,4
1,0,10000,Hamming,0,4
0.5,0.1,10000,Hamming,47.17,4
0.6,0.1,10000,Hamming,41.84,4
0.7,0.1,10000,Hamming,36.82,4
0.8,0.1,10000,Hamming,31.6,4
0.9,0.1,10000,Hamming,25.76,4
1,0.1,10000,Hamming,11,4
0.5,0.2,10000,Hamming,44.84,4
0.6,0.2,10000,Hamming,41.74,4
0.7,0.2,10000,Hamming,36.71,4
0.8,0.2,10000,Hamming,31.9,4
0.9,0.2,10000,Hamming,27.09,4
1,0.2,10000,Hamming,17,4
0.5,0.30000000000000004,10000,Hamming,40.55,4
0.6,0.30000000000000004,10000,Hamming,38.31,4
0.7,0.30000000000000004,10000,Hamming,35.84,4
0.8,0.30000000000000004,10000,Hamming,33.46,4
0.9,0.30000000000000004,10000,Hamming,29.2,4
1,0.30000000000000004,10000,Hamming,23,4
0.5,0.4,10000,Hamming,36.96,4
0.6,0.4,10000,Hamming,35.97,4
0.7,0.4,10000,Hamming,34.79,4
0.8,0.4,10000,Hamming,33.04,4
0.9,0.4,10000,Hamming,30.95,4
1,0.4,10000,Hamming,29,4
0.5,0.5,10000,Hamming,34.66,4
0.6,0.5,10000,Hamming,34.94,4
0.7,0.5,10000,Hamming,34.82,4
0.8,0.5,10000,Hamming,34.88,4
0.9,0.5,10000,Hamming,34.52,4
1,0.5,10000,Hamming,36,4
0.5,0.6000000000000001,10000,Hamming,36.95,4
0.6,0.6000000000000001,10000,Hamming,38.12,4
0.7,0.6000000000000001,10000,Hamming,38.41,4
0.8,0.6000000000000001,10000,Hamming,39.57,4
0.9,0.6000000000000001,10000,Hamming,41.19,4
1,0.6000000000000001,10000,Hamming,41,4
0.5,0.7000000000000001,10000,Hamming,40.9,4
0.6,0.7000000000000001,10000,Hamming,43.29,4
0.7,0.7000000000000001,10000,Hamming,44.69,4
0.8,0.7000000000000001,10000,Hamming,45.54,4
0.9,0.7000000000000001,10000,Hamming,47.83,4
1,0.7000000000000001,10000,Hamming,47,4
0.5,0.8,10000,Hamming,44.56,4
0.6,0.8,10000,Hamming,47.45,4
0.7,0.8,10000,Hamming,49.76,4
0.8,0.8,10000,Hamming,51.6,4
0.9,0.8,10000,Hamming,54.9,4
1,0.8,10000,Hamming,54,4
0.5,0.9,10000,Hamming,46.4,4
0.6,0.9,10000,Hamming,50.85,4
0.7,0.9,10000,Hamming,54.53,4
0.8,0.9,10000,Hamming,57.35,4
0.9,0.9,10000,Hamming,59.58,4
1,0.9,10000,Hamming,61,4
0.5,1,10000,Hamming,45.87,4
0.6,1,10000,Hamming,50.99,4
0.7,1,10000,Hamming,55.06,4
0.8,1,10000,Hamming,59.27,4
0.9,1,10000,Hamming,61.65,4
1,1,10000,Hamming,63,4
0.5,0,100000,Hamming,50.5,4
0.6,0,100000,Hamming,46.88,4
0.7,0,100000,Hamming,41.08,4
0.8,0,100000,Hamming,36.24,4
0.9,0,100000,Hamming,32.16,4
1,0,100000,Hamming,0,4
0.5,0.1,100000,Hamming,51.55,4
0.6,0.1,100000,Hamming,48.29,4
0.7,0.1,100000,Hamming,44.08,4
0.8,0.1,100000,Hamming,39.97,4
0.9,0.1,100000,Hamming,35.79,4
1,0.1,100000,Hamming,13,4
0.5,0.2,100000,Hamming,48.47,4
0.6,0.2,100000,Hamming,45.6,4
0.7,0.2,100000,Hamming,43.51,4
0.8,0.2,100000,Hamming,39.94,4
0.9,0.2,100000,Hamming,35.7,4
1,0.2,100000,Hamming,19,4
0.5,0.30000000000000004,100000,Hamming,44.61,4
0.6,0.30000000000000004,100000,Hamming,43.21,4
0.7,0.30000000000000004,100000,Hamming,40.95,4
0.8,0.30000000000000004,100000,Hamming,38.34,4
0.9,0.30000000000000004,100000,Hamming,36.13,4
1,0.30000000000000004,100000,Hamming,25,4
0.5,0.4,100000,Hamming,39.38,4
0.6,0.4,100000,Hamming,39.36,4
0.7,0.4,100000,Hamming,37.89,4
0.8,0.4,100000,Hamming,37.22,4
0.9,0.4,100000,Hamming,35.39,4
1,0.4,100000,Hamming,30,4
0.5,0.5,100000,Hamming,37.02,4
0.6,0.5,100000,Hamming,36.82,4
0.7,0.5,100000,Hamming,36.93,4
0.8,0.5,100000,Hamming,37.46,4
0.9,0.5,100000,Hamming,36.27,4
1,0.5,100000,Hamming,38,4
0.5,0.6000000000000001,100000,Hamming,40.68,4
0.6,0.6000000000000001,100000,Hamming,40.52,4
0.7,0.6000000000000001,100000,Hamming,42.26,4
0.8,0.6000000000000001,100000,Hamming,42.15,4
0.9,0.6000000000000001,100000,Hamming,43.46,4
1,0.6000000000000001,100000,Hamming,42,4
0.5,0.7000000000000001,100000,Hamming,44.79,4
0.6,0.7000000000000001,100000,Hamming,45.95,4
0.7,0.7000000000000001,100000,Hamming,46.87,4
0.8,0.7000000000000001,100000,Hamming,47.93,4
0.9,0.7000000000000001,100000,Hamming,48.79,4
1,0.7000000000000001,100000,Hamming,50,4
0.5,0.8,100000,Hamming,48.97,4
0.6,0.8,100000,Hamming,50.97,4
0.7,0.8,100000,Hamming,52.34,4
0.8,0.8,100000,Hamming,54.66,4
0.9,0.8,100000,Hamming,55.36,4
1,0.8,100000,Hamming,57,4
0.5,0.9,100000,Hamming,52.26,4
0.6,0.9,100000,Hamming,54.86,4
0.7,0.9,100000,Hamming,57.78,4
0.8,0.9,100000,Hamming,59.16,4
0.9,0.9,100000,Hamming,61,4
1,0.9,100000,Hamming,62,4
0.5,1,100000,Hamming,51.27,4
0.6,1,100000,Hamming,53.77,4
0.7,1,100000,Hamming,58.03,4
0.8,1,100000,Hamming,60.34,4
0.9,1,100000,Hamming,62.1,4
1,1,100000,Hamming,63,4
0.5,0,1,Hamming,21.23,5
0.6,0,1,Hamming,15.59,5
0.7,0,1,Hamming,10.84,5
0.8,0,1,Hamming,7.38,5
0.9,0,1,Hamming,3.59,5
1,0,1,Hamming,0,5
0.5,0.1,1,Hamming,20.9,5
0.6,0.1,1,Hamming,17.33,5
0.7,0.1,1,Hamming,11.96,5
0.8,0.1,1,Hamming,8.9,5
0.9,0.1,1,Hamming,6.9,5
1,0.1,1,Hamming,2,5
0.5,0.2,1,Hamming,21.6,5
0.6,0.2,1,Hamming,17.66,5
0.7,0.2,1,Hamming,14.3,5
0.8,0.2,1,Hamming,9.85,5
0.9,0.2,1,Hamming,9.04,5
1,0.2,1,Hamming,5,5
0.5,0.30000000000000004,1,Hamming,21.59,5
0.6,0.30000000000000004,1,Hamming,18.61,5
0.7,0.30000000000000004,1,Hamming,16.35,5
0.8,0.30000000000000004,1,Hamming,20.65,5
0.9,0.30000000000000004,1,Hamming,15.25,5
1,0.30000000000000004,1,Hamming,15,5
0.5,0.4,1,Hamming,21.15,5
0.6,0.4,1,Hamming,20.33,5
0.7,0.4,1,Hamming,21.02,5
0.8,0.4,1,Hamming,15.6,5
0.9,0.4,1,Hamming,16.84,5
1,0.4,1,Hamming,13,5
0.5,0.5,1,Hamming,21.7,5
0.6,0.5,1,Hamming,21.27,5
0.7,0.5,1,Hamming,23.31,5
0.8,0.5,1,Hamming,21.35,5
0.9,0.5,1,Hamming,27.48,5
1,0.5,1,Hamming,18,5
0.5,0.6000000000000001,1,Hamming,21.12,5
0.6,0.6000000000000001,1,Hamming,21.63,5
0.7,0.6000000000000001,1,Hamming,23.76,5
0.8,0.6000000000000001,1,Hamming,23.54,5
0.9,0.6000000000000001,1,Hamming,24.62,5
1,0.6000000000000001,1,Hamming,26,5
0.5,0.7000000000000001,1,Hamming,20.47,5
0.6,0.7000000000000001,1,Hamming,25.58,5
0.7,0.7000000000000001,1,Hamming,28.87,5
0.8,0.7000000000000001,1,Hamming,23,5
0.9,0.7000000000000001,1,Hamming,38.61,5
1,0.7000000000000001,1,Hamming,35,5
0.5,0.8,1,Hamming,21.94,5
0.6,0.8,1,Hamming,24.75,5
0.7,0.8,1,Hamming,26.99,5
0.8,0.8,1,Hamming,30.21,5
0.9,0.8,1,Hamming,38.3,5
1,0.8,1,Hamming,41,5
0.5,0.9,1,Hamming,21.58,5
0.6,0.9,1,Hamming,25.87,5
0.7,0.9,1,Hamming,31.66,5
0.8,0.9,1,Hamming,32.28,5
0.9,0.9,1,Hamming,47.37,5
1,0.9,1,Hamming,44,5
0.5,1,1,Hamming,21.65,5
0.6,1,1,Hamming,28.1,5
0.7,1,1,Hamming,34.21,5
0.8,1,1,Hamming,42.73,5
0.9,1,1,Hamming,51.81,5
1,1,1,Hamming,63,5
0.5,0,10,Hamming,23.91,5
0.6,0,10,Hamming,19.16,5
0.7,0,10,Hamming,13,5
0.8,0,10,Hamming,9.6,5
0.9,0,10,Hamming,4.58,5
1,0,10,Hamming,0,5
0.5,0.1,10,Hamming,25.82,5
0.6,0.1,10,Hamming,21.38,5
0.7,0.1,10,Hamming,17.16,5
0.8,0.1,10,Hamming,14.09,5
0.9,0.1,10,Hamming,9.89,5
1,0.1,10,Hamming,6,5
0.5,0.2,10,Hamming,26.28,5
0.6,0.2,10,Hamming,22.68,5
0.7,0.2,10,Hamming,19.49,5
0.8,0.2,10,Hamming,18.68,5
0.9,0.2,10,Hamming,13.94,5
1,0.2,10,Hamming,10,5
0.5,0.30000000000000004,10,Hamming,26.57,5
0.6,0.30000000000000004,10,Hamming,24.06,5
0.7,0.30000000000000004,10,Hamming,21.08,5
0.8,0.30000000000000004,10,Hamming,19.09,5
0.9,0.30000000000000004,10,Hamming,15.39,5
1,0.30000000000000004,10,Hamming,14,5
0.5,0.4,10,Hamming,26.36,5
0.6,0.4,10,Hamming,25.4,5
0.7,0.4,10,Hamming,25.22,5
0.8,0.4,10,Hamming,22.71,5
0.9,0.4,10,Hamming,21.19,5
1,0.4,10,Hamming,23,5
0.5,0.5,10,Hamming,27.53,5
0.6,0.5,10,Hamming,26.25,5
0.7,0.5,10,Hamming,26.68,5
0.8,0.5,10,Hamming,25.77,5
0.9,0.5,10,Hamming,26.45,5
1,0.5,10,Hamming,24,5
0.5,0.6000000000000001,10,Hamming,26.77,5
0.6,0.6000000000000001,10,Hamming,28.32,5
0.7,0.6000000000000001,10,Hamming,28.66,5
0.8,0.6000000000000001,10,Hamming,29.34,5
0.9,0.6000000000000001,10,Hamming,30.19,5
1,0.6000000000000001,10,Hamming,38,5
0.5,0.7000000000000001,10,Hamming,27.65,5
0.6,0.7000000000000001,10,Hamming,29.16,5
0.7,0.7000000000000001,10,Hamming,31.62,5
0.8,0.7000000000000001,10,Hamming,35.25,5
0.9,0.7000000000000001,10,Hamming,37.47,5
1,0.7000000000000001,10,Hamming,37,5
0.5,0.8,10,Hamming,26.36,5
0.6,0.8,10,Hamming,30.6,5
0.7,0.8,10,Hamming,33.52,5
0.8,0.8,10,Hamming,38.67,5
0.9,0.8,10,Hamming,45,5
1,0.8,10,Hamming,46,5
0.5,0.9,10,Hamming,26.35,5
0.6,0.9,10,Hamming,31.9,5
0.7,0.9,10,Hamming,36.48,5
0.8,0.9,10,Hamming,42.26,5
0.9,0.9,10,Hamming,49.54,5
1,0.9,10,Hamming,56,5
0.5,1,10,Hamming,24.01,5
0.6,1,10,Hamming,31.3,5
0.7,1,10,Hamming,36.34,5
0.8,1,10,Hamming,45.08,5
0.9,1,10,Hamming,54.45,5
1,1,10,Hamming,63,5
0.5,0,100,Hamming,27.89,5
0.6,0,100,Hamming,22.87,5
0.7,0,100,Hamming,17.8,5
0.8,0,100,Hamming,12.62,5
0.9,0,100,Hamming,7.08,5
1,0,100,Hamming,0,5
0.5,0.1,100,Hamming,31.99,5
0.6,0.1,100,Hamming,27.02,5
0.7,0.1,100,Hamming,21.29,5
0.8,0.1,100,Hamming,18.36,5
0.9,0.1,100,Hamming,13.61,5
1,0.1,100,Hamming,8,5
0.5,0.2,100,Hamming,31.31,5
0.6,0.2,100,Hamming,27.15,5
0.7,0.2,100,Hamming,24.26,5
0.8,0.2,100,Hamming,20.48,5
0.9,0.2,100,Hamming,17.57,5
1,0.2,100,Hamming,14,5
0.5,0.30000000000000004,100,Hamming,30.58,5
0.6,0.30000000000000004,100,Hamming,28.48,5
0.7,0.30000000000000004,100,Hamming,25.45,5
0.8,0.30000000000000004,100,Hamming,23.29,5
0.9,0.30000000000000004,100,Hamming,20.36,5
1,0.30000000000000004,100,Hamming,20,5
0.5,0.4,100,Hamming,30.45,5
0.6,0.4,100,Hamming,29.18,5
0.7,0.4,100,Hamming,27.8,5
0.8,0.4,100,Hamming,26.55,5
0.9,0.4,100,Hamming,25.49,5
1,0.4,100,Hamming,25,5
0.5,0.5,100,Hamming,30.27,5
0.6,0.5,100,Hamming,30.28,5
0.7,0.5,100,Hamming,30,5
0.8,0.5,100,Hamming,30.5,5
0.9,0.5,100,Hamming,29.56,5
1,0.5,100,Hamming,29,5
0.5,0.6000000000000001,100,Hamming,30,5
0.6,0.6000000000000001,100,Hamming,31.56,5
0.7,0.6000000000000001,100,Hamming,32.85,5
0.8,0.6000000000000001,100,Hamming,34.14,5
0.9,0.6000000000000001,100,Hamming,35.31,5
1,0.6000000000000001,100,Hamming,39,5
0.5,0.7000000000000001,100,Hamming,30.85,5
0.6,0.7000000000000001,100,Hamming,32.9,5
0.7,0.7000000000000001,100,Hamming,36.67,5
0.8,0.7000000000000001,100,Hamming,38.53,5
0.9,0.7000000000000001,100,Hamming,42.16,5
1,0.7000000000000001,100,Hamming,44,5
0.5,0.8,100,Hamming,31.26,5
0.6,0.8,100,Hamming,35.11,5
0.7,0.8,100,Hamming,38.88,5
0.8,0.8,100,Hamming,43.07,5
0.9,0.8,100,Hamming,47.4,5
1,0.8,100,Hamming,51,5
0.5,0.9,100,Hamming,31.53,5
0.6,0.9,100,Hamming,37.26,5
0.7,0.9,100,Hamming,42.07,5
0.8,0.9,100,Hamming,47.39,5
0.9,0.9,100,Hamming,52.67,5
1,0.9,100,Hamming,58,5
0.5,1,100,Hamming,28.03,5
0.6,1,100,Hamming,34.9,5
0.7,1,100,Hamming,41.71,5
0.8,1,100,Hamming,48.6,5
0.9,1,100,Hamming,57.31,5
1,1,100,Hamming,63,5
0.5,0,1000,Hamming,35.59,5
0.6,0,1000,Hamming,28.17,5
0.7,0,1000,Hamming,23.47,5
0.8,0,1000,Hamming,16.64,5
0.9,0,1000,Hamming,10.56,5
1,0,1000,Hamming,0,5
0.5,0.1,1000,Hamming,37.54,5
0.6,0.1,1000,Hamming,33.82,5
0.7,0.1,1000,Hamming,28.37,5
0.8,0.1,1000,Hamming,23.48,5
0.9,0.1,1000,Hamming,18.6,5
1,0.1,1000,Hamming,10,5
0.5,0.2,1000,Hamming,38.19,5
0.6,0.2,1000,Hamming,34.01,5
0.7,0.2,1000,Hamming,29.26,5
0.8,0.2,1000,Hamming,25.53,5
0.9,0.2,1000,Hamming,21.41,5
1,0.2,1000,Hamming,16,5
0.5,0.30000000000000004,1000,Hamming,34.91,5
0.6,0.30000000000000004,1000,Hamming,32.94,5
0.7,0.30000000000000004,1000,Hamming,30.74,5
0.8,0.30000000000000004,1000,Hamming,27.19,5
0.9,0.30000000000000004,1000,Hamming,25.19,5
1,0.30000000000000004,1000,Hamming,21,5
0.5,0.4,1000,Hamming,33.75,5
0.6,0.4,1000,Hamming,32.68,5
0.7,0.4,1000,Hamming,31.09,5
0.8,0.4,1000,Hamming,29.8,5
0.9,0.4,1000,Hamming,28.71,5
1,0.4,1000,Hamming,28,5
0.5,0.5,1000,Hamming,32.98,5
0.6,0.5,1000,Hamming,33.24,5
0.7,0.5,1000,Hamming,33.07,5
0.8,0.5,1000,Hamming,32.56,5
0.9,0.5,1000,Hamming,35.02,5
1,0.5,1000,Hamming,35,5
0.5,0.6000000000000001,1000,Hamming,33.56,5
0.6,0.6000000000000001,1000,Hamming,34.44,5
0.7,0.6000000000000001,1000,Hamming,35.78,5
0.8,0.6000000000000001,1000,Hamming,37.03,5
0.9,0.6000000000000001,1000,Hamming,37.11,5
1,0.6000000000000001,1000,Hamming,40,5
0.5,0.7000000000000001,1000,Hamming,35.2,5
0.6,0.7000000000000001,1000,Hamming,38.03,5
0.7,0.7000000000000001,1000,Hamming,40.36,5
0.8,0.7000000000000001,1000,Hamming,41.57,5
0.9,0.7000000000000001,1000,Hamming,43.93,5
1,0.7000000000000001,1000,Hamming,47,5
0.5,0.8,1000,Hamming,37.63,5
0.6,0.8,1000,Hamming,40.43,5
0.7,0.8,1000,Hamming,44.17,5
0.8,0.8,1000,Hamming,48.02,5
0.9,0.8,1000,Hamming,50.57,5
1,0.8,1000,Hamming,53,5
0.5,0.9,1000,Hamming,37.88,5
0.6,0.9,1000,Hamming,43.54,5
0.7,0.9,1000,Hamming,48.7,5
0.8,0.9,1000,Hamming,52.98,5
0.9,0.9,1000,Hamming,57.33,5
1,0.9,1000,Hamming,61,5
0.5,1,1000,Hamming,34.69,5
0.6,1,1000,Hamming,40.98,5
0.7,1,1000,Hamming,47.99,5
0.8,1,1000,Hamming,53.91,5
0.9,1,1000,Hamming,60.58,5
1,1,1000,Hamming,63,5
0.5,0,10000,Hamming,45.37,5
0.6,0,10000,Hamming,38.79,5
0.7,0,10000,Hamming,32.78,5
0.8,0,10000,Hamming,26.24,5
0.9,0,10000,Hamming,18.16,5
1,0,10000,Hamming,0,5
0.5,0.1,10000,Hamming,46.67,5
0.6,0.1,10000,Hamming,41.48,5
0.7,0.1,10000,Hamming,37.78,5
0.8,0.1,10000,Hamming,31.41,5
0.9,0.1,10000,Hamming,24.37,5
1,0.1,10000,Hamming,13,5
0.5,0.2,10000,Hamming,45.82,5
0.6,0.2,10000,Hamming,41.16,5
0.7,0.2,10000,Hamming,36.47,5
0.8,0.2,10000,Hamming,32.5,5
0.9,0.2,10000,Hamming,27.52,5
1,0.2,10000,Hamming,17,5
0.5,0.30000000000000004,10000,Hamming,40.51,5
0.6,0.30000000000000004,10000,Hamming,38.57,5
0.7,0.30000000000000004,10000,Hamming,35.7,5
0.8,0.30000000000000004,10000,Hamming,33.09,5
0.9,0.30000000000000004,10000,Hamming,29.55,5
1,0.30000000000000004,10000,Hamming,23,5
0.5,0.4,10000,Hamming,37.02,5
0.6,0.4,10000,Hamming,35.99,5
0.7,0.4,10000,Hamming,34.92,5
0.8,0.4,10000,Hamming,33.56,5
0.9,0.4,10000,Hamming,31.56,5
1,0.4,10000,Hamming,29,5
0.5,0.5,10000,Hamming,34.75,5
0.6,0.5,10000,Hamming,35.05,5
0.7,0.5,10000,Hamming,34.86,5
0.8,0.5,10000,Hamming,35,5
0.9,0.5,10000,Hamming,34.46,5
1,0.5,10000,Hamming,34,5
0.5,0.6000000000000001,10000,Hamming,36.91,5
0.6,0.6000000000000001,10000,Hamming,38.87,5
0.7,0.6000000000000001,10000,Hamming,39.29,5
0.8,0.6000000000000001,10000,Hamming,39.41,5
0.9,0.6000000000000001,10000,Hamming,41.4,5
1,0.6000000000000001,10000,Hamming,40,5
0.5,0.7000000000000001,10000,Hamming,40.88,5
0.6,0.7000000000000001,10000,Hamming,42.58,5
0.7,0.7000000000000001,10000,Hamming,44.77,5
0.8,0.7000000000000001,10000,Hamming,46.26,5
0.9,0.7000000000000001,10000,Hamming,46.81,5
1,0.7000000000000001,10000,Hamming,48,5
0.5,0.8,10000,Hamming,44.52,5
0.6,0.8,10000,Hamming,46.9,5
0.7,0.8,10000,Hamming,50.1,5
0.8,0.8,10000,Hamming,52.38,5
0.9,0.8,10000,Hamming,53.54,5
1,0.8,10000,Hamming,56,5
0.5,0.9,10000,Hamming,47.8,5
0.6,0.9,10000,Hamming,51.14,5
0.7,0.9,10000,Hamming,54.93,5
0.8,0.9,10000,Hamming,57.36,5
0.9,0.9,10000,Hamming,60,5
1,0.9,10000,Hamming,62,5
0.5,1,10000,Hamming,45.59,5
0.6,1,10000,Hamming,51.23,5
0.7,1,10000,Hamming,55.72,5
0.8,1,10000,Hamming,59.47,5
0.9,1,10000,Hamming,61.49,5
1,1,10000,Hamming,63,5
0.5,0,100000,Hamming,50.35,5
0.6,0,100000,Hamming,46.7,5
0.7,0,100000,Hamming,40.24,5
0.8,0,100000,Hamming,35.72,5
0.9,0,100000,Hamming,31.52,5
1,0,100000,Hamming,0,5
