wp,n,k,p,q,r,score_method
0.9994380180114304,1000,10,0.75,0.6000000000000001,0.5,Hamming
0.07171160988081031,1,100,0.75,0.6000000000000001,0.5,Hamming
0.4555566397189311,10,100,0.75,0.6000000000000001,0.5,Hamming
0.9201061150517084,100,100,0.75,0.6000000000000001,0.5,Hamming
0.9944374613423844,1000,100,0.75,0.6000000000000001,0.5,Hamming
0.01380481601579353,1,1000,0.75,0.6000000000000001,0.5,Hamming
0.1233886584661037,10,1000,0.75,0.6000000000000001,0.5,Hamming
0.5973869203304198,100,1000,0.75,0.6000000000000001,0.5,Hamming
0.9492463955283093,1000,1000,0.75,0.6000000000000001,0.5,Hamming
0.8254828721124468,1,1,0.75,0.65,0.5,Hamming
0.9918695553838712,10,1,0.75,0.65,0.5,Hamming
0.9996369229816554,100,1,0.75,0.65,0.5,Hamming
0.9999790752007748,1000,1,0.75,0.65,0.5,Hamming
0.4295715777370854,1,10,0.75,0.65,0.5,Hamming
0.9294432146765338,10,10,0.75,0.65,0.5,Hamming
0.9964034575750846,100,10,0.75,0.65,0.5,Hamming
0.9997909102546996,1000,10,0.75,0.65,0.5,Hamming
0.13730934693632646,1,100,0.75,0.65,0.5,Hamming
0.650043491751182,10,100,0.75,0.65,0.5,Hamming
0.9669191161935276,100,100,0.75,0.65,0.5,Hamming
0.9979245967966274,1000,100,0.75,0.65,0.5,Hamming
0.03399940285733884,1,1000,0.75,0.65,0.5,Hamming
0.26144101061258573,10,1000,0.75,0.65,0.5,Hamming
0.7924818986567359,100,1000,0.75,0.65,0.5,Hamming
0.9805539270315848,1000,1000,0.75,0.65,0.5,Hamming
0.8893129383345822,1,1,0.75,0.7000000000000001,0.5,Hamming
0.9961776678319584,10,1,0.75,0.7000000000000001,0.5,Hamming
0.9998349238919784,100,1,0.75,0.7000000000000001,0.5,Hamming
0.999989896730236,1000,1,0.75,0.7000000000000001,0.5,Hamming
0.5679311061839707,1,10,0.75,0.7000000000000001,0.5,Hamming
0.9654670712358092,10,10,0.75,0.7000000000000001,0.5,Hamming
0.998362586529587,100,10,0.75,0.7000000000000001,0.5,Hamming
0.999899053876102,1000,10,0.75,0.7000000000000001,0.5,Hamming
0.2357399149676437,1,100,0.75,0.7000000000000001,0.5,Hamming
0.7967902011604764,10,100,0.75,0.7000000000000001,0.5,Hamming
0.9847303106516512,100,100,0.75,0.7000000000000001,0.5,Hamming
0.9989988931791812,1000,100,0.75,0.7000000000000001,0.5,Hamming
0.07420669722011006,1,1000,0.75,0.7000000000000001,0.5,Hamming
0.44425125210259975,10,1000,0.75,0.7000000000000001,0.5,Hamming
0.8948912801364604,100,1000,0.75,0.7000000000000001,0.5,Hamming
0.9906430741535376,1000,1000,0.75,0.7000000000000001,0.5,Hamming
0.9348287516412206,1,1,0.75,0.75,0.5,Hamming
0.998107859799836,10,1,0.75,0.75,0.5,Hamming
0.9999089908066148,100,1,0.75,0.75,0.5,Hamming
0.9999933915107226,1000,1,0.75,0.75,0.5,Hamming
0.6990754651686913,1,10,0.75,0.75,0.5,Hamming
0.9825592781218764,10,10,0.75,0.75,0.5,Hamming
0.999098116760941,100,10,0.75,0.75,0.5,Hamming
0.9999340057736802,1000,10,0.75,0.75,0.5,Hamming
0.3651794938745274,1,100,0.75,0.75,0.5,Hamming
0.8864927271118536,10,100,0.75,0.75,0.5,Hamming
0.9916222534243416,100,100,0.75,0.75,0.5,Hamming
0.9993484983967964,1000,100,0.75,0.75,0.5,Hamming
0.14415890205662957,1,1000,0.75,0.75,0.5,Hamming
0.6206620004287428,10,1000,0.75,0.75,0.5,Hamming
0.9412718061797116,100,1000,0.75,0.75,0.5,Hamming
0.994055070923104,1000,1000,0.75,0.75,0.5,Hamming
0.9646253244119408,1,1,0.75,0.8,0.5,Hamming
0.9989762426396628,10,1,0.75,0.8,0.5,Hamming
0.9999370227255192,100,1,0.75,0.8,0.5,Hamming
0.9999940316847332,1000,1,0.75,0.8,0.5,Hamming
0.809355740510471,1,10,0.75,0.8,0.5,Hamming
0.9904917547832044,10,10,0.75,0.8,0.5,Hamming
0.9993779576002576,100,10,0.75,0.8,0.5,Hamming
0.9999404802258864,1000,10,0.75,0.8,0.5,Hamming
0.5140105350072567,1,100,0.75,0.8,0.5,Hamming
0.9349563905144428,10,100,0.75,0.8,0.5,Hamming
0.9943273804457564,100,100,0.75,0.8,0.5,Hamming
0.9994189493280464,1000,100,0.75,0.8,0.5,Hamming
0.2503156893300879,1,1000,0.75,0.8,0.5,Hamming
0.7526449209187099,10,1000,0.75,0.8,0.5,Hamming
0.9613919695738572,100,1000,0.75,0.8,0.5,Hamming
0.9949554420383944,1000,1000,0.75,0.8,0.5,Hamming
0.9824414044982316,1,1,0.75,0.8500000000000001,0.5,Hamming
0.9993714510840518,10,1,0.75,0.8500000000000001,0.5,Hamming
0.9999438318463584,100,1,0.75,0.8500000000000001,0.5,Hamming
0.9999924933231458,1000,1,0.75,0.8500000000000001,0.5,Hamming
0.8913269914677242,1,10,0.75,0.8500000000000001,0.5,Hamming
0.9941692352307514,10,10,0.75,0.8500000000000001,0.5,Hamming
