p,qE,qL,q_cutoff,eMaxScore,n,score_method
0.75,0.5,0.65,1.5,161.64363723136654,1000,ESPN
0.75,0.5,0.65,1.5,167.32145887325137,10000,ESPN
0.75,0.55,0.65,1.5,108.8000000000002,1,ESPN
0.75,0.55,0.65,1.5,133.17316889199682,5,ESPN
0.75,0.55,0.65,1.5,139.97469071957474,10,ESPN
0.75,0.55,0.65,1.5,154.19088609943472,100,ESPN
0.75,0.55,0.65,1.5,162.42621636850816,1000,ESPN
0.75,0.55,0.65,1.5,168.0937955865321,10000,ESPN
0.75,0.6,0.65,1.5,109.6000000000002,1,ESPN
0.75,0.6,0.65,1.5,133.96605989051892,5,ESPN
0.75,0.6,0.65,1.5,140.76414042516603,10,ESPN
0.75,0.6,0.65,1.5,154.96636285563213,100,ESPN
0.75,0.6,0.65,1.5,163.18474358994104,1000,ESPN
0.75,0.6,0.65,1.5,168.83279115999434,10000,ESPN
0.75,0.65,0.65,1.5,110.40000000000018,1,ESPN
0.75,0.65,0.65,1.5,134.7542941640583,5,ESPN
0.75,0.65,0.65,1.5,141.54677562938386,10,ESPN
0.75,0.65,0.65,1.5,155.7268298049844,100,ESPN
0.75,0.65,0.65,1.5,163.91933860392527,1000,ESPN
0.75,0.65,0.65,1.5,169.53863488966684,10000,ESPN
0.75,0.7,0.65,1.5,111.2000000000002,1,ESPN
0.75,0.7,0.65,1.5,135.537870158052,5,ESPN
0.75,0.7,0.65,1.5,142.32259683707866,10,ESPN
0.75,0.7,0.65,1.5,156.4723003471144,100,ESPN
0.75,0.7,0.65,1.5,164.63001669332684,1000,ESPN
0.75,0.7,0.65,1.5,170.21129242169962,10000,ESPN
0.75,0.75,0.65,1.5,112.00000000000016,1,ESPN
0.75,0.75,0.65,1.5,136.3167828686524,5,ESPN
0.75,0.75,0.65,1.5,143.09159746636382,10,ESPN
0.75,0.75,0.65,1.5,157.20275108916007,100,ESPN
0.75,0.75,0.65,1.5,165.3166877837098,1000,ESPN
0.75,0.75,0.65,1.5,170.85049875703828,10000,ESPN
0.75,0.8,0.65,1.5,112.80000000000015,1,ESPN
0.75,0.8,0.65,1.5,137.09102380875623,5,ESPN
0.75,0.8,0.65,1.5,143.85376378085857,10,ESPN
0.75,0.8,0.65,1.5,157.91812125831598,100,ESPN
0.75,0.8,0.65,1.5,165.97915244421097,1000,ESPN
0.75,0.8,0.65,1.5,171.4557402259706,10000,ESPN
0.75,0.8500000000000001,0.65,1.5,113.60000000000018,1,ESPN
0.75,0.8500000000000001,0.65,1.5,137.8605809553819,5,ESPN
0.75,0.8500000000000001,0.65,1.5,144.60907477082077,10,ESPN
0.75,0.8500000000000001,0.65,1.5,158.61831150578095,100,ESPN
0.75,0.8500000000000001,0.65,1.5,166.61709448474733,1000,ESPN
0.75,0.8500000000000001,0.65,1.5,172.02622301110708,10000,ESPN
0.75,0.9,0.65,1.5,114.40000000000016,1,ESPN
0.75,0.9,0.65,1.5,138.62543867167125,5,ESPN
0.75,0.9,0.65,1.5,145.35750197052332,10,ESPN
0.75,0.9,0.65,1.5,159.3031820079574,100,ESPN
0.75,0.9,0.65,1.5,167.23006940903957,1000,ESPN
