p,q,n,method,eMaxHammingScore
0.5,0.4,1,gpb,31.499999999999993
0.5,0.4,5,gpb,36.01089026150932
0.5,0.4,10,gpb,37.4634770761039
0.5,0.4,100,gpb,41.177094845616494
0.5,0.4,1000,gpb,43.945297921231216
0.5,0.4,10000,gpb,46.20702172147561
0.6,0.4,1,gpb,30.240000000000006
0.6,0.4,5,gpb,34.75627609310078
0.6,0.4,10,gpb,36.21499144845585
0.6,0.4,100,gpb,39.95389224546851
0.6,0.4,1000,gpb,42.75019561059975
0.6,0.4,10000,gpb,45.0412023206079
0.7,0.4,1,gpb,28.98
0.7,0.4,5,gpb,33.50164701976293
0.7,0.4,10,gpb,34.96643769469229
0.7,0.4,100,gpb,38.7301936337621
0.7,0.4,1000,gpb,41.553875226368525
0.7,0.4,10000,gpb,43.87321999251
0.8,0.4,1,gpb,27.720000000000002
0.8,0.4,5,gpb,32.24700303575429
0.8,0.4,10,gpb,33.71781663090046
0.8,0.4,100,gpb,37.50601688110949
0.8,0.4,1000,gpb,40.35639927534276
0.8,0.4,10000,gpb,42.70321062413085
0.9,0.4,1,gpb,26.460000000000004
0.9,0.4,5,gpb,30.992344138482117
0.9,0.4,10,gpb,32.46912906864354
0.9,0.4,100,gpb,36.28137885584361
0.9,0.4,1000,gpb,39.1578251001491
0.9,0.4,10000,gpb,41.53129679322947
1,0.4,1,gpb,25.200000000000003
1,0.4,5,gpb,29.737670328449028
1,0.4,10,gpb,31.220375814344052
1,0.4,100,gpb,35.05629549394865
1,0.4,1000,gpb,37.958205204720485
1,0.4,10000,gpb,40.357609329612316
0.5,0.5,1,gpb,31.5
0.5,0.5,5,gpb,36.10453608816432
0.5,0.5,10,gpb,37.586817016942476
0.5,0.5,100,gpb,41.37348045447272
0.5,0.5,1000,gpb,44.19209092555395
0.5,0.5,10000,gpb,46.491389439096146
0.6,0.5,1,gpb,31.50000000000001
0.6,0.5,5,gpb,36.104536088164345
0.6,0.5,10,gpb,37.586817016942504
0.6,0.5,100,gpb,41.37348045447274
0.6,0.5,1000,gpb,44.19209092555391
0.6,0.5,10000,gpb,46.491389439096146
0.7,0.5,1,gpb,31.499999999999996
0.7,0.5,5,gpb,36.10453608816434
0.7,0.5,10,gpb,37.58681701694249
0.7,0.5,100,gpb,41.373480454472734
0.7,0.5,1000,gpb,44.19209092555392
