wp,n,k,p,qE,qL,rE,rL,q_cutoff,r_cutoff,score_method
0.6678058320585311,100,100,0.75,0.7,0.5,0.5,0.5,1.5,1.5,ESPN
0.5637976574030907,1,1,0.75,0.8,0.5,0.5,0.5,1.5,1.5,ESPN
0.941165843490454,10,1,0.75,0.8,0.5,0.5,0.5,1.5,1.5,ESPN
0.9959122677000392,100,1,0.75,0.8,0.5,0.5,0.5,1.5,1.5,ESPN
0.13376918721160674,1,10,0.75,0.8,0.5,0.5,0.5,1.5,1.5,ESPN
0.6343154893004677,10,10,0.75,0.8,0.5,0.5,0.5,1.5,1.5,ESPN
0.96099315226008,100,10,0.75,0.8,0.5,0.5,0.5,1.5,1.5,ESPN
0.02181522239765853,1,100,0.75,0.8,0.5,0.5,0.5,1.5,1.5,ESPN
0.18612557642758057,10,100,0.75,0.8,0.5,0.5,0.5,1.5,1.5,ESPN
0.7282894920251366,100,100,0.75,0.8,0.5,0.5,0.5,1.5,1.5,ESPN
0.5828430804171041,1,1,0.75,0.9,0.5,0.5,0.5,1.5,1.5,ESPN
0.948711797883452,10,1,0.75,0.9,0.5,0.5,0.5,1.5,1.5,ESPN
0.9968522397328728,100,1,0.75,0.9,0.5,0.5,0.5,1.5,1.5,ESPN
0.1486493738951281,1,10,0.75,0.9,0.5,0.5,0.5,1.5,1.5,ESPN
0.6711524695593991,10,10,0.75,0.9,0.5,0.5,0.5,1.5,1.5,ESPN
0.969769389285862,100,10,0.75,0.9,0.5,0.5,0.5,1.5,1.5,ESPN
0.02690243668817517,1,100,0.75,0.9,0.5,0.5,0.5,1.5,1.5,ESPN
0.22263933220568663,10,100,0.75,0.9,0.5,0.5,0.5,1.5,1.5,ESPN
0.7796906270505698,100,100,0.75,0.9,0.5,0.5,0.5,1.5,1.5,ESPN
0.6017220301183923,1,1,0.75,1,0.5,0.5,0.5,1.5,1.5,ESPN
0.955320387301612,10,1,0.75,1,0.5,0.5,0.5,1.5,1.5,ESPN
0.997537055612763,100,1,0.75,1,0.5,0.5,0.5,1.5,1.5,ESPN
0.16440933165368193,1,10,0.75,1,0.5,0.5,0.5,1.5,1.5,ESPN
0.7054269628736194,10,10,0.75,1,0.5,0.5,0.5,1.5,1.5,ESPN
0.9762433347205636,100,10,0.75,1,0.5,0.5,0.5,1.5,1.5,ESPN
0.03279483247272145,1,100,0.75,1,0.5,0.5,0.5,1.5,1.5,ESPN
0.2619983263239434,10,100,0.75,1,0.5,0.5,0.5,1.5,1.5,ESPN
0.8211438025246601,100,100,0.75,1,0.5,0.5,0.5,1.5,1.5,ESPN
0.6040430417471997,1,1,0.75,0.5,0.6,0.5,0.5,1.5,1.5,ESPN
0.9515091782331524,10,1,0.75,0.5,0.6,0.5,0.5,1.5,1.5,ESPN
0.996520382759544,100,1,0.75,0.5,0.6,0.5,0.5,1.5,1.5,ESPN
0.16264765079009105,1,10,0.75,0.5,0.6,0.5,0.5,1.5,1.5,ESPN
0.6850858396516918,10,10,0.75,0.5,0.6,0.5,0.5,1.5,1.5,ESPN
0.9667379984443132,100,10,0.75,0.5,0.6,0.5,0.5,1.5,1.5,ESPN
0.02818961708256248,1,100,0.75,0.5,0.6,0.5,0.5,1.5,1.5,ESPN
0.22732539040385435,10,100,0.75,0.5,0.6,0.5,0.5,1.5,1.5,ESPN
0.7629128336864179,100,100,0.75,0.5,0.6,0.5,0.5,1.5,1.5,ESPN
0.6226333222141034,1,1,0.75,0.6,0.6,0.5,0.5,1.5,1.5,ESPN
0.95843866320884,10,1,0.75,0.6,0.6,0.5,0.5,1.5,1.5,ESPN
0.997464876725354,100,1,0.75,0.6,0.6,0.5,0.5,1.5,1.5,ESPN
0.1799453118930065,1,10,0.75,0.6,0.6,0.5,0.5,1.5,1.5,ESPN
0.7216534679815774,10,10,0.75,0.6,0.6,0.5,0.5,1.5,1.5,ESPN
0.9755676419500496,100,10,0.75,0.6,0.6,0.5,0.5,1.5,1.5,ESPN
0.03483823704790873,1,100,0.75,0.6,0.6,0.5,0.5,1.5,1.5,ESPN
0.2712258230902449,10,100,0.75,0.6,0.6,0.5,0.5,1.5,1.5,ESPN
0.8161937348237368,100,100,0.75,0.6,0.6,0.5,0.5,1.5,1.5,ESPN
0.6409603824095736,1,1,0.75,0.7,0.6,0.5,0.5,1.5,1.5,ESPN
0.964480174648625,10,1,0.75,0.7,0.6,0.5,0.5,1.5,1.5,ESPN
0.9981483181998096,100,1,0.75,0.7,0.6,0.5,0.5,1.5,1.5,ESPN
0.19810558135655432,1,10,0.75,0.7,0.6,0.5,0.5,1.5,1.5,ESPN
0.75534762358335406,10,10,0.75,0.7,0.6,0.5,0.5,1.5,1.5,ESPN
0.982043093368462,100,10,0.75,0.7,0.6,0.5,0.5,1.5,1.5,ESPN
0.04249494141497521,1,100,0.75,0.7,0.6,0.5,0.5,1.5,1.5,ESPN
0.31795419322878665,10,100,0.75,0.7,0.6,0.5,0.5,1.5,1.5,ESPN
0.8589758434794126,100,100,0.75,0.7,0.6,0.5,0.5,1.5,1.5,ESPN
0.6589912646914584,1,1,0.75,0.8,0.6,0.5,0.5,1.5,1.5,ESPN
0.9697173428759016,10,1,0.75,0.8,0.6,0.5,0.5,1.5,1.5,ESPN
0.9986392744647282,100,1,0.75,0.8,0.6,0.5,0.5,1.5,1.5,ESPN
