p,score,q1,q2,q3,q4,q5,q6,eMaxEspnScore_n=1,eMaxEspnScore_n=10,eMaxEspnScore_n=100,eMaxEspnScore_n=1000,eMaxEspnScore_n=10000,eMaxEspnScore_n=1e+05,eMaxEspnScore_n=1e+06,eMaxEspnScore_n=1e+07,eMaxEspnScore_n=1e+08
0.9,Hamming,0.2,0.2,0.2,0.2,0.2,0.2,163.80000000000007,213.7852940640131,247.12199338185985,273.0970583481835,295.0783262599564,314.502223285446,332.1040937820999,348.3157990242968,363.4162292738632
1,Hamming,0.2,0.2,0.2,0.2,0.2,0.2,126,176.3011050514029,210.2263973087416,236.7823170201798,259.3209021946871,279.2829917358348,297.407301328265,314.1213630759856,329.69492506400366
0.5,Hamming,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,314.9999999999998,370.7711799930929,405.6240449507859,431.7333541208106,453.1775927164273,471.6511540602256,488.0110019849934,502.7558828872724,516.2048616866857
1,Hamming,0.2,0.2,0.2,0.2,0.2,0.2,126,176.3011050514029,210.2263973087416,236.7823170201798,259.3209021946871,279.2829917358348,297.407301328265,314.1213630759856,329.69492506400366
0.5,Hamming,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,314.9999999999998,370.7711799930929,405.6240449507859,431.7333541208106,453.1775927164273,471.6511540602256,488.0110019849934,502.7558828872724,516.2048616866857
0.6,Hamming,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,289.8000000000004,345.8008056749602,381.1504881080654,407.80203237312423,429.8018572295163,448.8374921275528,465.7641897070165,481.08064398999545,495.10662579620066
0.7,Hamming,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,264.6,320.82754759596,356.65686725059174,383.8233010104526,406.34472288913537,425.9034163893272,443.3537293002992,459.19468619229474,473.7468751814589
0.8,Hamming,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,239.40000000000012,295.8514805041226,332.14463571560606,359.80184081035,382.8156988554664,402.8646523161089,420.8028249751917,437.1299034623819,452.1674191400146
0.7,Hamming,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,264.6,320.82754759596,356.65686725059174,383.8233010104526,406.34472288913537,425.9034163893272,443.3537293002992,459.19468619229474,473.7468751814589
0.8,Hamming,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,239.40000000000012,295.8514805041226,332.14463571560606,359.80184081035,382.8156988554664,402.8646523161089,420.8028249751917,437.1299034623819,452.1674191400146
0.9,Hamming,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,214.20000000000005,270.8726779485716,307.6150844432103,335.74160836440694,359.22256209280886,379.7337474207618,398.12962812944454,414.9108279324198,430.399936367059
1,Hamming,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,189.00000000000009,245.89121207224596,283.0693652861353,311.6459586597306,335.5716259353843,356.5202404878032,375.3485496380709,392.54982502424014,408.4641292563637
0.9,Hamming,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,214.20000000000005,270.8726779485716,307.6150844432103,335.74160836440694,359.22256209280886,379.7337474207618,398.12962812944454,414.9108279324198,430.399936367059
1,Hamming,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,189.00000000000009,245.89121207224596,283.0693652861353,311.6459586597306,335.5716259353843,356.5202404878032,375.3485496380709,392.54982502424014,408.4641292563637
0.5,Hamming,0.4,0.4,0.4,0.4,0.4,0.4,314.9999999999998,374.634770761039,411.7709484561651,439.45297921231423,462.0702172147768,481.4495199077718,498.5164054461568,513.8102868375698,527.6765386306907
