p,score,q1,q2,q3,q4,q5,q6,eMaxEspnScore_n=1,eMaxEspnScore_n=10,eMaxEspnScore_n=100,eMaxEspnScore_n=1000,eMaxEspnScore_n=10000,eMaxEspnScore_n=1e+05,eMaxEspnScore_n=1e+06,eMaxEspnScore_n=1e+07,eMaxEspnScore_n=1e+08
1,Hamming_og,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,25.20000000000002,31.220375814344013,35.05629549394816,37.958205204715945,40.35760932956526,42.435418518818665,44.28388317983327,45.957179162014675,47.49266434209873
0.5,Hamming_og,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,31.500000000000057,37.07711799930902,40.56240449507608,43.173335412060965,45.31775927149875,47.165115405096614,48.80110019304591,50.27558825784634,51.62048598299526
0.6,Hamming_og,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,28.98,34.58008056749546,38.11504881080183,40.78020323727414,42.98018572265375,44.883749210489206,46.576418953393635,48.108064263413674,49.51066148497435
0.7,Hamming_og,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,26.459999999999926,32.08275475959512,35.66568672505185,38.382330100984355,40.63447228841713,42.59034163490959,44.33537289726415,45.919468350091776,47.37468530038571
0.8,Hamming_og,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,23.93999999999985,29.58514805041108,33.21446357155078,35.980184080952334,38.28156988485541,40.28646522584847,42.08028244959113,43.712989949058894,45.216738651354234
0.9,Hamming_og,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,21.419999999999817,27.087267794855816,30.76150844430968,33.57416083634425,35.92225620846187,37.97337473514391,39.81296275467382,41.49108230873887,43.0399896700625
1,Hamming_og,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,18.899999999999782,24.589121207223027,28.30693652860034,31.164595865860477,33.55716259257474,35.65202404056208,37.534854894368785,39.254981923910044,40.84640818894761
0.5,Hamming_og,0.8,0.8,0.8,0.8,0.8,0.8,31.500000000000014,36.36549782762005,39.43256215540903,41.75666201693133,43.68704440035251,45.36808513493456,46.87249386709649,48.24244520074033,49.50485237615615
0.6,Hamming_og,0.8,0.8,0.8,0.8,0.8,0.8,27.720000000000034,32.61982614583159,35.75905714447238,38.15920098520383,40.16518393849735,41.92077477516331,43.49872092289523,44.941384170619514,46.27591443532532
0.7,Hamming_og,0.8,0.8,0.8,0.8,0.8,0.8,23.939999999999987,28.873418742174977,32.08081744388338,34.55125853156418,36.626269285058264,38.44935415295211,40.093438714279706,41.601128651178385,42.99981428358584
0.8,Hamming_og,0.8,0.8,0.8,0.8,0.8,0.8,20.159999999999982,25.126309086837217,28.39838288589408,30.934363885613926,33.07311451933748,34.95811950463763,36.662576731249466,38.22937069277484,39.686138533246236
0.9,Hamming_og,0.8,0.8,0.8,0.8,0.8,0.8,16.379999999999967,21.37852940640114,24.712199338184647,27.309705834807215,29.50783262591525,31.45022232809288,33.21040937721333,34.8315799244882,36.34162341146641
1,Hamming_og,0.8,0.8,0.8,0.8,0.8,0.8,12.59999999999993,17.630110505139765,21.02263973086956,23.678231701977207,25.932090219112098,27.92829917051277,29.740730106759614,31.412136090247838,32.96949072415419
0.5,Hamming_og,0.9,0.9,0.9,0.9,0.9,0.9,31.49999999999987,35.142867321290005,37.502050088149886,39.34390152702156,40.91202491244082,42.3066155188091,43.57803285851704,44.75548369240675,45.85764725757898
0.6,Hamming_og,0.9,0.9,0.9,0.9,0.9,0.9,26.459999999999877,30.14840751840736,32.59620090848934,34.524375077624754,36.17386407393634,37.64569736398165,38.99113594267273,40.240098061281046,41.411814203544075
0.7,Hamming_og,0.9,0.9,0.9,0.9,0.9,0.9,21.419999999999945,25.152223064034477,27.68116227189351,29.686993540371983,31.409182506700777,32.94974741955308,34.360831969979245,35.67301528201148,36.9060258904365
0.8,Hamming_og,0.9,0.9,0.9,0.9,0.9,0.9,16.38000000000002,20.154460719298598,22.75848940458524,24.83523424142431,26.623470828624857,28.22628450503502,29.696676885616576,31.06584781248155,32.35398495721517
0.9,Hamming_og,0.9,0.9,0.9,0.9,0.9,0.9,11.339999999999998,15.155252952529082,17.829343240303743,19.971576133069167,21.820563301572566,23.480494975002728,25.00519530077439,26.426470021013742,27.76491208446402
1,Hamming_og,0.9,0.9,0.9,0.9,0.9,0.9,6.30000000000002,10.15471807304742,12.894614499184591,15.097928295293432,17.003332765202302,18.716910371837823,20.291215803126516,21.759481223,23.145664157875007
0.5,Hamming_og,1,1,1,1,1,1,31.5,31.500000000000416,31.500000000004167,31.500000000041737,31.50000000041743,31.500000004174396,31.500000041743938,31.50000041743937,31.500004174393005
0.6,Hamming_og,1,1,1,1,1,1,25.200000000000028,25.200000000000404,25.200000000003985,25.200000000039815,25.200000000398138,25.200000003981298,25.20000003981282,25.200000398128324,25.200003981282563
0.7,Hamming_og,1,1,1,1,1,1,18.90000000000003,18.90000000000022,18.900000000002183,18.90000000002177,18.900000000217744,18.900000002177283,18.90000002177282,18.90000021772821,18.900002177281788
0.8,Hamming_og,1,1,1,1,1,1,12.599999999999998,12.600000000000088,12.600000000000868,12.600000000008746,12.600000000087398,12.600000000874036,12.600000008740293,12.600000087402853,12.600000874028574
0.9,Hamming_og,1,1,1,1,1,1,6.300000000000001,6.300000000000086,6.300000000000885,6.3000000000088905,6.300000000088964,6.300000000889599,6.3000000088960055,6.300000088960056,6.300000889600619
1,Hamming_og,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
