n,k,p,q,r,wp
10000,1000000,0.75,0.1,0.5,-2.0004953249497248e-10
10000,10000000,0.75,0.1,0.5,-2.2176511738081213e-9
10000,100000000,0.75,0.1,0.5,-2.220222028448404e-8
100000,1,0.75,0.1,0.5,0.4645831969628691
100000,10,0.75,0.1,0.5,0.03296129646589807
100000,100,0.75,0.1,0.5,6.631281591705784e-4
100000,1000,0.75,0.1,0.5,1.2463267567208725e-5
100000,10000,0.75,0.1,0.5,2.6604014591313785e-7
100000,100000,0.75,0.1,0.5,6.491132853447823e-9
100000,1000000,0.75,0.1,0.5,-2.2099433394373588e-11
100000,10000000,0.75,0.1,0.5,-2.1928463489473415e-9
100000,100000000,0.75,0.1,0.5,-2.2182062853204343e-8
1000000,1,0.75,0.1,0.5,0.5840368580095006
1000000,10,0.75,0.1,0.5,0.07436064270386034
1000000,100,0.75,0.1,0.5,0.00249684835783614
1000000,1000,0.75,0.1,0.5,6.468536781634171e-5
1000000,10000,0.75,0.1,0.5,1.7066473740889876e-6
1000000,100000,0.75,0.1,0.5,4.839416845037192e-8
1000000,1000000,0.75,0.1,0.5,1.461405219060907e-9
1000000,10000000,0.75,0.1,0.5,-1.950885675228164e-9
1000000,100000000,0.75,0.1,0.5,-2.1980628428508453e-8
10000000,1,0.75,0.1,0.5,0.6900434805041501
10000000,10,0.75,0.1,0.5,0.14293555785613865
10000000,100,0.75,0.1,0.5,0.00783553081946453
10000000,1000,0.75,0.1,0.5,2.827046992497362e-4
10000000,10000,0.75,0.1,0.5,9.39461508531192e-6
10000000,100000,0.75,0.1,0.5,3.160282942005211e-7
10000000,1000000,0.75,0.1,0.5,1.278206140931104e-8
10000000,10000000,0.75,0.1,0.5,3.84059117841673e-10
10000000,100000000,0.75,0.1,0.5,-1.996856080488385e-8
100000000,1,0.75,0.1,0.5,0.778100760489535
100000000,10,0.75,0.1,0.5,0.2401083634354675
100000000,100,0.75,0.1,0.5,0.02087906408050077
100000000,1000,0.75,0.1,0.5,0.00105221112778042
100000000,10000,0.75,0.1,0.5,4.454686850230427e-5
100000000,100000,0.75,0.1,0.5,1.8085297691650128e-6
100000000,1000000,0.75,0.1,0.5,9.273481571536737e-8
100000000,10000000,0.75,0.1,0.5,2.2792818965555742e-8
100000000,100000000,0.75,0.1,0.5,1.229657486945257e-10
1,1,0.75,0.15000000000000002,0.5,0.027084415183934
1,10,0.75,0.15000000000000002,0.5,7.547735083213158e-5
1,100,0.75,0.15000000000000002,0.5,4.018254384785536e-7
1,1000,0.75,0.15000000000000002,0.5,4.807258258132663e-9
1,10000,0.75,0.15000000000000002,0.5,8.774625470664432e-11
1,100000,0.75,0.15000000000000002,0.5,-1.9986012844697143e-11
1,1000000,0.75,0.15000000000000002,0.5,-2.2197887972197347e-10
1,10000000,0.75,0.15000000000000002,0.5,-2.220443828804264e-9
1,100000000,0.75,0.15000000000000002,0.5,-2.220446049250313e-8
10,1,0.75,0.15000000000000002,0.5,0.11044135075507489
10,10,0.75,0.15000000000000002,0.5,6.822945621770549e-4
10,100,0.75,0.15000000000000002,0.5,3.973490283804004e-6
10,1000,0.75,0.15000000000000002,0.5,4.798943398220956e-8
10,10000,0.75,0.15000000000000002,0.5,8.971386966649674e-10
10,100000,0.75,0.15000000000000002,0.5,-2.0206059048177852e-14
10,1000000,0.75,0.15000000000000002,0.5,-2.2138424426998424e-10
10,10000000,0.75,0.15000000000000002,0.5,-2.220421624343771e-9
10,100000000,0.75,0.15000000000000002,0.5,-2.2204457827967872e-8
100,1,0.75,0.15000000000000002,0.5,0.2566404584386893
100,10,0.75,0.15000000000000002,0.5,0.00470361403916996
100,100,0.75,0.15000000000000002,0.5,3.713680986283663e-5
100,1000,0.75,0.15000000000000002,0.5,4.734395405714409e-7
100,10000,0.75,0.15000000000000002,0.5,8.964724296234294e-9
100,100000,0.75,0.15000000000000002,0.5,1.9948909191214168e-10
100,1000000,0.75,0.15000000000000002,0.5,-2.1543855588390668e-10
100,10000000,0.75,0.15000000000000002,0.5,-2.220200245872661e-9
100,100000000,0.75,0.15000000000000002,0.5,-2.220442962830305e-8
1000,1,0.75,0.15000000000000002,0.5,0.42973880964272826
1000,10,0.75,0.15000000000000002,0.5,0.02194022031176168
1000,100,0.75,0.15000000000000002,0.5,2.955844910894623e-4
1000,1000,0.75,0.15000000000000002,0.5,4.436174127153691e-6
1000,10000,0.75,0.15000000000000002,0.5,8.805447726523141e-8
1000,100000,0.75,0.15000000000000002,0.5,2.183783820441931e-9
1000,1000000,0.75,0.15000000000000002,0.5,-1.5607048986510108e-10
1000,10000000,0.75,0.15000000000000002,0.5,-2.217986683206163e-9
1000,100000000,0.75,0.15000000000000002,0.5,-2.220414763165479e-8
10000,1,0.75,0.15000000000000002,0.5,0.5949945855109651
10000,10,0.75,0.15000000000000002,0.5,0.07072765911968237
10000,100,0.75,0.15000000000000002,0.5,0.00182522818902752
10000,1000,0.75,0.15000000000000002,0.5,3.6697598693069544e-5
10000,10000,0.75,0.15000000000000002,0.5,8.211894878540349e-7
10000,100000,0.75,0.15000000000000002,0.5,2.1515273895822418e-8
10000,1000000,0.75,0.15000000000000002,0.5,4.326042857272227e-10
10000,10000000,0.75,0.15000000000000002,0.5,-2.195907455870838e-9
10000,100000000,0.75,0.15000000000000002,0.5,-2.2201329441529083e-8
100000,1,0.75,0.15000000000000002,0.5,0.7316651817280198
100000,10,0.75,0.15000000000000002,0.5,0.16821029895842676
100000,100,0.75,0.15000000000000002,0.5,0.00846946930366654
100000,1000,0.75,0.15000000000000002,0.5,2.505000371820776e-4
100000,10000,0.75,0.15000000000000002,0.5,6.8730103092162764e-6
100000,100000,0.75,0.15000000000000002,0.5,1.9944770168756065e-7
100000,1000000,0.75,0.15000000000000002,0.5,6.127961804658355e-9
100000,10000000,0.75,0.15000000000000002,0.5,-1.977661590046864e-9
100000,100000000,0.75,0.15000000000000002,0.5,-2.21731837335426e-8
1000000,1,0.75,0.15000000000000002,0.5,0.8330399799480537
1000000,10,0.75,0.15000000000000002,0.5,0.3142091421947466
1000000,100,0.75,0.15000000000000002,0.5,0.02981014037998786
1000000,1000,0.75,0.15000000000000002,0.5,0.00136314265942349
1000000,10000,0.75,0.15000000000000002,0.5,4.9042276246913374e-5
1000000,100000,0.75,0.15000000000000002,0.5,1.6737990180537563e-6
1000000,1000000,0.75,0.15000000000000002,0.5,5.815387849050779e-8
1000000,10000000,0.75,0.15000000000000002,0.5,1.2406575766732428e-10
1000000,100000000,0.75,0.15000000000000002,0.5,-2.1893147295060092e-8
10000000,1,0.75,0.15000000000000002,0.5,0.9018836709938086
10000000,10,0.75,0.15000000000000002,0.5,0.4860376783116057
10000000,100,0.75,0.15000000000000002,0.5,0.08158139530971742
10000000,1000,0.75,0.15000000000000002,0.5,0.00587393039911654
10000000,10000,0.75,0.15000000000000002,0.5,2.894707167426791e-4
10000000,100000,0.75,0.15000000000000002,0.5,1.2217691660376673e-5
10000000,1000000,0.75,0.15000000000000002,0.5,4.893769492975153e-7
10000000,10000000,0.75,0.15000000000000002,0.5,1.9323246003288833e-8
10000000,100000000,0.75,0.15000000000000002,0.5,-1.9131787265536104e-8
100000000,1,0.75,0.15000000000000002,0.5,0.9452779500864652
100000000,10,0.75,0.15000000000000002,0.5,0.6510666751359933
100000000,100,0.75,0.15000000000000002,0.5,0.17863077233847813
100000000,1000,0.75,0.15000000000000002,0.5,0.02019959082532652
100000000,10000,0.75,0.15000000000000002,0.5,0.00139795757744454
100000000,100000,0.75,0.15000000000000002,0.5,7.560553538465964e-5
100000000,1000000,0.75,0.15000000000000002,0.5,3.624826738879427e-6
100000000,10000000,0.75,0.15000000000000002,0.5,1.8113278055231777e-7
100000000,100000000,0.75,0.15000000000000002,0.5,7.687898095909418e-9
1,1,0.75,0.2,0.5,0.05191794777022518
1,10,0.75,0.2,0.5,3.382082299442368e-4
1,100,0.75,0.2,0.5,3.109720601024435e-6
1,1000,0.75,0.2,0.5,5.368392796967215e-8
1,10000,0.75,0.2,0.5,1.3317499325538051e-9
1,100000,0.75,0.2,0.5,1.946376393391347e-11
1,1000000,0.75,0.2,0.5,-2.2052604187194902e-10
1,10000000,0.75,0.2,0.5,-2.220384542894749e-9
1,100000000,0.75,0.2,0.5,-2.2204457827967872e-8
10,1,0.75,0.2,0.5,0.20538948290545556
10,10,0.75,0.2,0.5,0.00309589593593351
10,100,0.75,0.2,0.5,3.089745044915215e-5
10,1000,0.75,0.2,0.5,5.364844490873821e-7
10,10000,0.75,0.2,0.5,1.3336334925284632e-8
