p,q,n,eMaxScores_Hamming,eMaxScores_ESPN
0.7,0.4,10,35.07021132460337,1226.0996549414851
0.8,0.4,10,33.797045085008854,1189.3459262516938
0.9,0.4,10,32.51382479398059,1152.0130186678043
1,0.4,10,31.220375814344052,1114.0898636188444
0.5,0.5,10,37.58681701694248,1297.8978650035908
0.6,0.5,10,37.58681701694248,1297.8978650035908
0.7,0.5,10,37.58681701694248,1297.8978650035908
0.8,0.5,10,37.58681701694248,1297.8978650035908
0.9,0.5,10,37.58681701694248,1297.8978650035908
1,0.5,10,37.58681701694248,1297.8978650035908
0.5,0.6,10,37.58681701694248,1297.8978650035908
0.6,0.6,10,38.830350433583426,1332.9491735514466
0.7,0.6,10,40.06402002619217,1367.435240956853
0.8,0.6,10,41.287752153593956,1401.352693213435
0.9,0.6,10,42.501422822121754,1434.695488316019
1,0.6,10,43.704854529757526,1467.4548561731683
0.5,0.7000000000000001,10,37.58681701694248,1297.8978650035908
0.6,0.7000000000000001,10,40.06402002619217,1367.435240956853
0.7,0.7000000000000001,10,42.50142282212173,1434.6954883160167
0.8,0.7000000000000001,10,44.897811599296894,1499.6191796960268
0.9,0.7000000000000001,10,47.251027143774216,1562.1007895148462
1,0.7000000000000001,10,49.55771297756974,1621.981078567215
0.5,0.8,10,37.58681701694248,1297.8978650035908
0.6,0.8,10,41.287752153593956,1401.352693213435
0.7,0.8,10,44.89781159929687,1499.6191796960268
0.8,0.8,10,48.41045325000429,1592.378490681756
0.9,0.8,10,51.812864778317795,1679.031977820457
1,0.8,10,55.08160480184958,1758.5518749857056
0.5,0.9,10,37.58681701694248,1297.8978650035908
0.6,0.9,10,42.501422822121754,1434.695488316019
0.7,0.9,10,47.251027143774216,1562.1007895148462
0.8,0.9,10,51.812864778317795,1679.031977820457
0.9,0.9,10,56.134680730647126,1783.192327597335
1,0.9,10,60.08365306645299,1869.467895341993
0.5,1,10,37.58681701694248,1297.8978650035908
0.6,1,10,43.704854529757526,1467.4548561731683
0.7,1,10,49.557712977569736,1621.9810785672105
0.8,1,10,55.08160480184958,1758.5518749857056
0.9,1,10,60.08365306645299,1869.467895341993
1,1,10,63,1920
0.5,0.1,100,41.373480454472734,1459.3775181333558
0.6,0.1,100,36.35263965230058,1330.4204704659708
0.7,0.1,100,31.062782234534783,1188.3036493944076
0.8,0.1,100,25.467270153041916,1030.8761969041977
0.9,0.1,100,19.48191770461669,853.6994028895793
1,0.1,100,12.894614499182696,646.0712700666568
0.5,0.2,100,41.373480454472734,1459.3775181333558
0.6,0.2,100,37.63229022706996,1363.840550429502
0.7,0.2,100,33.742879774393,1261.1055373561346
0.8,0.2,100,29.69475858565803,1150.5031727987387
0.9,0.2,100,25.467270153041916,1030.8761969041977
1,0.2,100,21.022639730874154,900.2425889542228
0.5,0.30000000000000004,100,41.373480454472734,1459.3775181333558
0.6,0.30000000000000004,100,38.89553042048905,1396.4635480628272
0.7,0.30000000000000004,100,36.35263965230058,1330.4204704659708
0.8,0.30000000000000004,100,33.742879774393,1261.1055373561346
0.9,0.30000000000000004,100,31.062782234534783,1188.3036493944076
1,0.30000000000000004,100,28.306936528613534,1111.7063089254143
0.5,0.4,100,41.373480454472734,1459.3775181333558
0.6,0.4,100,40.1425560475663,1428.3051990321974
0.7,0.4,100,38.89553042048905,1396.4635480628272
