p,q1,q2,q3,q4,q5,q6,eMaxEspnScore_n=1,eMaxEspnScore_n=10,eMaxEspnScore_n=100,eMaxEspnScore_n=1000,eMaxEspnScore_n=10000,eMaxEspnScore_n=1e+05,eMaxEspnScore_n=1e+06,eMaxEspnScore_n=1e+07,eMaxEspnScore_n=1e+08
0.75,0.6,0.6,0.6,0.6,0.6,0.6,863.9999999999998,1202.9536901335152,1374.6970869651527,1477.8963130278612,1550.2941406528175,1605.5378168068185,1649.8607687059202,1686.6245704990376,1717.8321548361228
0.75,0.65,0.65,0.65,0.6,0.6,0.6,839.9999999999999,1177.9757872842722,1348.7953670208194,1451.2442306178657,1523.2003871090787,1578.3510760158354,1622.8995531145802,1660.1325944811806,1691.9774570758232
0.75,0.7,0.7,0.7,0.6,0.6,0.6,815.9999999999998,1152.5759677722945,1321.9741672870075,1423.1279053241587,1494.128629298909,1548.7474397408132,1593.163104751109,1630.5756914515723,1662.8246697882812
0.75,0.65,0.65,0.65,0.6,0.6,0.6,839.9999999999999,1177.9757872842722,1348.7953670208194,1451.2442306178657,1523.2003871090787,1578.3510760158354,1622.8995531145802,1660.1325944811806,1691.9774570758232
0.75,0.7,0.7,0.7,0.6,0.6,0.6,815.9999999999998,1152.5759677722945,1321.9741672870075,1423.1279053241587,1494.128629298909,1548.7474397408132,1593.163104751109,1630.5756914515723,1662.8246697882812
0.75,0.75,0.75,0.75,0.6,0.6,0.6,791.9999999999999,1126.7442502035012,1294.181506346729,1393.41225777971,1462.8440494347958,1516.4077412236393,1560.2652573033874,1597.510648418115,1629.8794557002889
0.75,0.8,0.8,0.8,0.6,0.6,0.6,767.9999999999998,1100.4679787259784,1265.3464075275956,1361.895853062525,1428.9761374192178,1480.8204464285734,1523.5846563921214,1560.225132333912,1592.350684937754
0.75,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.6,0.6,0.6,743.9999999999998,1073.731388359134,1235.3716417613973,1328.266279939166,1391.9007101608724,1441.1092859887128,1482.0519443367746,1517.49144310997,1548.8754293197064
0.75,0.8,0.8,0.8,0.6,0.6,0.6,767.9999999999998,1100.4679787259784,1265.3464075275956,1361.895853062525,1428.9761374192178,1480.8204464285734,1523.5846563921214,1560.225132333912,1592.350684937754
0.75,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.6,0.6,0.6,743.9999999999998,1073.731388359134,1235.3716417613973,1328.266279939166,1391.9007101608724,1441.1092859887128,1482.0519443367746,1517.49144310997,1548.8754293197064
0.75,0.9,0.9,0.9,0.6,0.6,0.6,719.9999999999999,1046.514829649259,1204.121283444768,1291.9968886372503,1350.4159720921202,1395.5583009360485,1433.562358990761,1466.8856947850666,1496.757541781788
0.75,0.95,0.95,0.95,0.6,0.6,0.6,695.9999999999998,1018.778009029524,1171.3760637099106,1252.0176493403617,1301.4484243299328,1339.7249477599073,1372.6349819053398,1402.0634580557658,1428.9087002248584
0.75,0.9,0.9,0.9,0.6,0.6,0.6,719.9999999999999,1046.514829649259,1204.121283444768,1291.9968886372503,1350.4159720921202,1395.5583009360485,1433.562358990761,1466.8856947850666,1496.757541781788
0.75,0.95,0.95,0.95,0.6,0.6,0.6,695.9999999999998,1018.778009029524,1171.3760637099106,1252.0176493403617,1301.4484243299328,1339.7249477599073,1372.6349819053398,1402.0634580557658,1428.9087002248584
0.75,1,1,1,0.6,0.6,0.6,671.9999999999999,988.4591650216008,1131.864346799174,1195.1250164347252,1199.999999191875,1199.9999999999998,1199.9999999999998,1199.9999999999998,1199.9999999999998
