PP,horse,sire,trainer,jockey,ML_decimal_odds,probs,result,winner,race_num
5,Ghost Giant,Frost Giant,David G. Donk,John R. Velazquez,9,0.05090572524130636,NA,0,8
6,Me 'n Sap,Bourbon Courage,David G. Donk,Jaime A. Torres,21,0.0218167393891313,NA,0,8
7,Awesome Native,Practical Joke,Jorge R. Abreu,Jose L. Ortiz,3.5,0.1309004363347878,1,1,8
8,Bar Fourteen,Gemologist,Rachel  Sells,Jose  Lezcano,7,0.0654502181673939,NA,0,8
9,Horn of Plenty,Emcee,David  Jacobson,"Irad  Ortiz, Jr.",9,0.05090572524130636,NA,0,8
10,Big Engine,Not For Love,Linda  Rice,Jose L. Ortiz,5,0.09163030543435145,3,0,8
11,Saint Selby,Kantharos,Rob  Atras,  Rider TBA,7,0.0654502181673939,NA,0,8
12,Foolish Ghost,Mineshaft,"Oscar S. Barrera, III",Jaime A. Torres,9,0.05090572524130636,4,0,8
13,Brew Pub,Street Sense,Rudy R. Rodriguez,Junior  Alvarado,5.5,0.08330027766759224,2,0,8
1,She's a Nine,Majestic City,Rob  Atras,Jose L. Ortiz,9,0.08785865377019828,NA,0,9
2,Danseur d'Oro,Bolt d'Oro,William E. Morey,Flavien  Prat,3,0.2635759613105948,1,1,9
3,Foxy Cara,Mastery,Mitchell E. Friedman,Javier  Castellano,5,0.1581455767863569,3,0,9
4,North End Lady,Violence,Barclay  Tagg,Junior  Alvarado,7,0.11296112627596921,NA,0,9
5,Jessica's Ride,Always Dreaming,Mark A. Hennig,Katie  Davis,6,0.1317879806552974,NA,0,9
6,Splashy,Flatter,Christophe  Clement,Manuel  Franco,7,0.11296112627596921,NA,0,9
7,Krystalheir,Keen Ice,Marialice  Coffey,Jacqueline A. Davis,13,0.0608252218409065,2,0,9
8,Unholy,Good Samaritan,Steven M. Asmussen,Trevor  McCarthy,11,0.0718843530847077,4,0,9
