p,n,random
0.8479,1000000,58.671160928701156
0.8528,1000000,58.879200930225224
0.8576999999999999,1000000,59.08757470363891
0.8626,1000000,59.296078321702645
0.8674999999999999,1000000,59.504427931184495
0.8724000000000001,1000000,59.71227749006191
0.8773,1000000,59.919277521339346
0.8822,1000000,60.12511875727188
0.8871,1000000,60.32951224295011
0.892,1000000,60.532112221853076
0.8969,1000000,60.732432013046804
0.9017999999999999,1000000,60.92979727675879
0.9067000000000001,1000000,61.12335191827934
0.9116,1000000,61.31210788090306
0.9165,1000000,61.49501384380672
0.9214,1000000,61.67101506658441
0.9263,1000000,61.839087770037104
0.9312,1000000,61.99824984585351
0.9360999999999999,1000000,62.147563701066595
0.9410000000000001,1000000,62.28615024539433
0.9459,1000000,62.41322588640469
0.9508,1000000,62.528162923680156
0.9557,1000000,62.63055900227803
0.9606,1000000,62.72027592063835
0.9655,1000000,62.79736174954484
0.9703999999999999,1000000,62.86172435583136
0.9753000000000001,1000000,62.91253601295246
0.9802,1000000,62.94814559128978
0.9851,1000000,62.969031886562334
0.99,1000000,62.982887902150786
0.5,10000000,51.73419152708836
0.5049,10000000,51.73589405580218
0.5098,10000000,51.74100732720339
0.5147,10000000,51.749545229692274
0.5196,10000000,51.7615262842096
0.5245,10000000,51.776967788722345
0.5294,10000000,51.7958822131574
0.5343,10000000,51.818271463274904
0.5392,10000000,51.8441278978605
0.5441,10000000,51.873436331359805
0.549,10000000,51.90617734389969
0.5539,10000000,51.942332513046125
0.5588,10000000,51.98188608634393
0.5637,10000000,52.02482723116983
0.5686,10000000,52.0711481119553
0.5735,10000000,52.120843905562964
0.5784,10000000,52.173909621706386
0.5833,10000000,52.2303377702416
0.5882000000000001,10000000,52.29012050919608
0.5931,10000000,52.35324637781312
0.598,10000000,52.41970344721772
0.6029,10000000,52.48947884276288
0.6078,10000000,52.56255748902719
0.6127,10000000,52.63892493582527
0.6176,10000000,52.71856486300705
0.6225,10000000,52.801460477881626
0.6274,10000000,52.887594413399725
0.6323,10000000,52.976948067073444
0.6372,10000000,53.06950180246987
0.6421,10000000,53.16523504897822
0.647,10000000,53.26412623185903
0.6519,10000000,53.36615209279064
0.6568,10000000,53.471290117192844
0.6617,10000000,53.579514473704464
0.6666,10000000,53.69079924355464
0.6715,10000000,53.80511677020822
0.6764,10000000,53.92243885471609
0.6813,10000000,54.04273498228861
0.6862,10000000,54.165973675239066
0.6911,10000000,54.29212257380553
