"","Team 1","Team 2","Team 3","Team 4","Team 5","Team 6","Team 7","Team 8","Team 9","Team 10","Team 11","Team 12","Team 13","Team 14","Team 15","Team 16","Team 17","Team 18","Team 19","Team 20","Team 21","Team 22","Team 23","Team 24","Team 25","Team 26","Team 27","Team 28","Team 29","Team 30","Team 31","Team 32","Team 33","Team 34","Team 35","Team 36","Team 37","Team 38","Team 39","Team 40","Team 41","Team 42","Team 43","Team 44","Team 45","Team 46","Team 47","Team 48","Team 49","Team 50","Team 51","Team 52","Team 53","Team 54","Team 55","Team 56","Team 57","Team 58","Team 59","Team 60","Team 61","Team 62","Team 63","Team 64"
"Team 11",0.291288917637575,0.335388658537715,0.348594707495165,0.36668516995077,0.402713876403098,0.440145818300746,0.451786754852371,0.463914786417011,0.468500062305889,0.496484783783342,NA,0.503069819025713,0.503640942167639,0.55816096589205,0.564978936550548,0.577230987183355,0.587278682634615,0.598468756270459,0.617819858349225,0.623494619853683,0.625901044444044,0.651174227443527,0.67540207725645,0.675942871790625,0.678098174549606,0.6792608479389,0.681104348730578,0.68165238006203,0.683358207911484,0.69518304654478,0.706682019719463,0.710387824056573,0.711584309510187,0.718927423923777,0.729996121407058,0.738677415730148,0.739890919992924,0.740377749431186,0.743031908282663,0.744903362273619,0.759692722581362,0.761781530927801,0.768502149186031,0.770883964758724,0.791414178566714,0.798907248370888,0.808712047580139,0.811534954713309,0.811566801240205,0.81177276447293,0.834897910340358,0.835043807810852,0.840523972236738,0.857176597363473,0.866028928261376,0.86623813728071,0.86812382039674,0.871652484160801,0.896967127427704,0.902167595937788,0.911085649178303,0.920382547475961,0.928072491287048,0.950445484267455
"Team 12",0.288760467722492,0.332657091091177,0.345811547528448,0.363838249019487,0.399763799860084,0.437122212312585,0.448747278654894,0.460862309313814,0.465443609568704,0.493415248983866,0.496930180974287,NA,0.500571148676918,0.555130519680895,0.561958553902001,0.574231564965637,0.584299208676062,0.59551442612961,0.614916293617598,0.620607693293117,0.623021413286131,0.64837984742402,0.67270423042177,0.673247345182564,0.675411966876392,0.676579715024643,0.678431330704821,0.67898179061077,0.680695225280624,0.692574772732293,0.70413026403103,0.70785497970144,0.709057643598933,0.716439452647084,0.727568999535956,0.736300141825255,0.737520762752554,0.73801045748397,0.740680340985418,0.742562987396813,0.757443850454245,0.759546019388188,0.766310358614804,0.768707937928603,0.789379863468327,0.796927260660949,0.806805253781995,0.809649676907959,0.809681767295952,0.809889308276695,0.833198304002111,0.83334540358419,0.83887110473948,0.85566668620689,0.864597819757491,0.864808914728509,0.866711645834678,0.870272449173438,0.895826753626652,0.9010784333486,0.910085875655815,0.919478071473752,0.927248469796479,0.949863927617508
"Team 13",0.288291488878107,0.332150113226005,0.345294894981366,0.363309621222277,0.399215730689362,0.436560176782829,0.448182197412361,0.460294710836133,0.464875233898873,0.492844207955016,0.496359057832361,0.499428851323082,NA,0.554566243671122,0.561396095853769,0.573672910406904,0.583744188252666,0.594963999713488,0.614375172673256,0.62006962856537,0.622484689429657,0.647858821085666,0.672201025238584,0.672744568800437,0.674910912917207,0.676079599161576,0.677932715102406,0.678483624039719,0.680198465297197,0.692088134249376,0.703654090441347,0.707382309497712,0.708586118152193,0.715975098565452,0.727115929096472,0.735856320195398,0.737078261910154,0.73756848843814,0.740241290671854,0.742126014816411,0.75702387161611,0.759128522902618,0.765900987086064,0.768301496517418,0.78899977708266,0.796557284123112,0.806448903004389,0.809297332591303,0.809329468390968,0.80953730318046,0.83288055168466,0.833027875331222,0.83856206510266,0.855384306551182,0.864330142878606,0.864541589782247,0.866447502289203,0.870014303913301,0.895613359577137,0.900874606741773,0.909898752931239,0.919308762058146,0.927094203326641,0.949755017695066
"Team 14",0.245485970196711,0.285444279566017,0.297564240065515,0.314284158077701,0.347993281558765,0.383605610307458,0.394805702442671,0.406538430726653,0.410991375398674,0.438374215056538,0.44183903410795,0.444869480319105,0.445433756328878,NA,0.506922619558109,0.519418927279465,0.529721201274336,0.541252816157222,0.561340232338524,0.567266230626214,0.569784061056036,0.596403758239443,0.622228806560088,0.622808715874787,0.625121420453229,0.626370008839534,0.628351179385659,0.628940478979715,0.630775765000366,0.643539963113658,0.656023162939283,0.66006111948203,0.661366410101281,0.669394056752741,0.681549350429224,0.691129252524984,0.692471632392765,0.693010389346721,0.695949928233004,0.698024918469174,0.714490390609183,0.716825652005614,0.724355643210654,0.727030335297531,0.750216843860478,0.758738696416769,0.769938020459079,0.773172638997068,0.773209156360882,0.773445341706318,0.80011986661828,0.800289145386203,0.806656590624307,0.826114060970634,0.836524498780166,0.836771097842372,0.838994976832517,0.843162241883365,0.873279232622822,0.879514719146174,0.890246515074498,0.901486753192425,0.91082493952019,0.938205559075939
"Team 15",0.240392961152163,0.279829724750186,0.291808646094769,0.308347125019992,0.341736813707326,0.377079166600745,0.388208717520934,0.399874934392732,0.404304615430213,0.431568370478572,0.435021063449452,0.438041446097999,0.438603904146231,0.493077380441891,NA,0.512503030843389,0.522817360273147,0.534369457180888,0.554510200556547,0.560456218882647,0.56298314723591,0.589720644907581,0.615697774694497,0.616281527006995,0.618609744753073,0.619866832814166,0.621861669060537,0.622455075905555,0.624303277876072,0.637162522091216,0.649747505916414,0.653820257291381,0.655136991187973,0.663237117617024,0.67550904790966,0.685186726384095,0.686543219462005,0.687087669188136,0.690058556370926,0.692155967847206,0.708807952788981,0.711170903820456,0.71879227394829,0.721500194110233,0.744991679549834,0.753633257247398,0.764996171194853,0.768279359907514,0.768316428989364,0.768556184535884,0.795654270830405,0.795826366452042,0.802300949801249,0.822100087111318,0.83270217250391,0.83295338605995,0.835219035913869,0.839465332783026,0.870182927628241,0.876549234432089,0.887511387212384,0.898999959908357,0.90854995939707,0.936580459860083
"Team 16",0.231377589179671,0.269860798759986,0.281579826125825,0.297782343784433,0.330574796564021,0.365403571592617,0.376396742529056,0.387933074993117,0.392316948068724,0.419341386568962,0.422769012816645,0.425768435034363,0.426327089593096,0.480581072720535,0.487496969156611,NA,0.510326113018251,0.521904077026226,0.542122001486823,0.548098616316135,0.550639627214172,0.577565660487754,0.603795333897137,0.604385548869461,0.606739886933538,0.608011307599274,0.61002921797893,0.610629566899957,0.612499620143992,0.625520535634567,0.638280080975098,0.642412790627067,0.64374927218448,0.651974783812386,0.664449485608011,0.67429797038249,0.675679173857075,0.676233594689255,0.679259427973128,0.681396177482867,0.698376554235838,0.700788420629304,0.708571487846203,0.711338304553929,0.735372563778537,0.744228197035314,0.755884381485918,0.759254807974475,0.759292868425745,0.7595390394096,0.787400834331146,0.787578025094131,0.794246547889327,0.814665982030762,0.825617131379054,0.825876759143814,0.828218594995289,0.832609134304061,0.864426760539418,0.871033516707395,0.882419753413209,0.894366446521999,0.904307930522328,0.933543555939233
"Team 17",0.224112530810348,0.261798970798456,0.27329894779461,0.289216795268261,0.321497844343445,0.355878691151224,0.366750914703744,0.378170892216038,0.382513390752491,0.409317388098051,0.412721317365385,0.415700791323938,0.416255811747334,0.470278798725664,0.477182639726853,0.489673886981749,NA,0.51158844849335,0.53185130420186,0.537847694820878,0.540398012377559,0.567455662400049,0.593871668377417,0.594466737493577,0.596840728470565,0.598122955219081,0.600158294015009,0.600763893854206,0.60265049679928,0.615794767181082,0.628688985777378,0.632868246139326,0.634220088920623,0.642543449549511,0.655177414541297,0.665160897266132,0.666561687746392,0.667124016168412,0.670193463516585,0.672361477616391,0.689604025292821,0.692055108141752,0.699968086096583,0.70278232158742,0.727255816991427,0.736285665729429,0.748181337770824,0.751623170931447,0.751662043271785,0.751913468452183,0.780403371222515,0.780584768879767,0.787413571014819,0.808347494069689,0.819589314778815,0.819855958821638,0.822261343310263,0.826772296887586,0.859512185884052,0.86632140230311,0.878065425133065,0.890399587516698,0.900672942468824,0.93093430374074
"Team 18",0.216154026931716,0.25293845762028,0.264188513429311,0.279780028304574,0.311469346018598,0.345323569296634,0.35605157812607,0.367331653894268,0.371624071159043,0.398157034788745,0.401531243729541,0.40448557387039,0.405036000286512,0.458747183842778,0.465630542819112,0.478095922973774,0.488411551506651,NA,0.520292816607236,0.526305396100086,0.528863613920619,0.5560424488861,0.582642824264441,0.583242800206062,0.585636697561234,0.586929896166244,0.588982968254455,0.589593919635056,0.591497414963869,0.604768667315368,0.617803259968457,0.622031382500617,0.623399383307509,0.631826032296223,0.644629293509142,0.654757244579201,0.656179061263782,0.656749882715945,0.659866217638054,0.662067888086696,0.679594004425291,0.682087692217278,0.690142118033194,0.693008097086061,0.717963432198441,0.72718552050788,0.739346364947788,0.742867452784348,0.742907226725334,0.743164486935461,0.77235492672859,0.772541035029912,0.779549479008875,0.801062149828482,0.812632255940079,0.812906835165125,0.815384114038942,0.820031407561194,0.853820061605225,0.860860504765273,0.87301395929893,0.885792636255075,0.896447600700197,0.927893210368271
"Team 19",0.202710794381676,0.237901835777231,0.248705749473689,0.263711003683743,0.29432404449093,0.327200301592144,0.337655669899568,0.348668504621515,0.352864471021237,0.378865602625338,0.382180141650775,0.385083706382402,0.385624827326744,0.438659767661476,0.445489799443453,0.457877998513177,0.46814869579814,0.479707183392764,NA,0.506025445278578,0.508590924957925,0.535913001836835,0.562771090109207,0.563378225420434,0.565801281400272,0.567110626214863,0.569189900628358,0.569808784053521,0.571737389151517,0.585200412517029,0.598451863690697,0.602756413573949,0.604149781341558,0.612739584028377,0.625813494988543,0.636175037209949,0.637631027906829,0.638215665077967,0.641408393174173,0.64366502157682,0.661657814877596,0.66422212602363,0.672511862716112,0.675464227946732,0.701230866092203,0.710779678550138,0.723393650812691,0.72705068122842,0.727092002946717,0.727359280846163,0.757760523658181,0.757954824272138,0.765276145617003,0.787802535299593,0.79995122851307,0.800239823059743,0.802844146325987,0.807732671703825,0.843389396178536,0.850844449825213,0.863734295312863,0.877315560902515,0.888661986606549,0.922266833030959
"Team 20",0.198843197631131,0.233559503795026,0.244229414304976,0.259057721229802,0.289342859700529,0.321916534857924,0.332286452096356,0.343214910782888,0.347380250220539,0.373210326737168,0.376505380146317,0.379392306706883,0.37993037143463,0.432733769373786,0.439543781117353,0.451901383683865,0.462152305179122,0.473694603899913,0.493974554721422,NA,0.50256601098884,0.52991344866153,0.556831625116321,0.557440522154473,0.559870786883866,0.561184145411873,0.563269964332194,0.563890836131102,0.565825756530349,0.579337886135217,0.592646255494081,0.596971128212179,0.598371267148841,0.607004895102049,0.620152391328752,0.630578157401404,0.632043591411637,0.632632049479468,0.635845937222782,0.638117820702922,0.656241122709327,0.658825318620113,0.667181532026078,0.670158382538587,0.696156785595706,0.705799729995966,0.718544891633986,0.722241413374708,0.722283185059101,0.72255337545821,0.75330875591538,0.753505465750553,0.760918918737718,0.78374530456608,0.796066151689755,0.796358924160438,0.799001135248305,0.803961681491006,0.840179376131578,0.84775965186346,0.860872490824038,0.874697607067003,0.886254762002967,0.920521192900279
